iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species
Leucolepis acanthoneura,120870,Leucolepis acanthoneura,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Mniaceae,,,Leucolepis,Leucolepis acanthoneura
Leucosolenia eleanor,424817,Leucosolenia eleanor,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,,Leucosoleniidae,,,Leucosolenia,Leucosolenia eleanor
Leucosolenia nautilia,347319,Leucosolenia nautilia,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,,Leucosoleniidae,,,Leucosolenia,Leucosolenia nautilia
Leukoma staminea,333608,Leukoma staminea,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,,Veneroidea,Veneridae,Chioninae,,Leukoma,Leukoma staminea
Leymus mollis,61067,Leymus mollis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Leymus,Leymus mollis
Libellula quadrimaculata,57443,Libellula quadrimaculata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,,Libellulidae,,,Libellula,Libellula quadrimaculata
Lichenomphalia umbellifera,118245,Lichenomphalia umbellifera,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Hygrophorineae,,,Hygrophoraceae,Lichenomphalioideae,Lichenomphalieae,Lichenomphalia,Lichenomphalia umbellifera
Limacia cockerelli,538830,Limacia cockerelli,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Polyceroidea,Polyceridae,Triophinae,,Limacia,Limacia cockerelli
Linnaea borealis,77780,Linnaea borealis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Linnaeoideae,,Linnaea,Linnaea borealis
Liothrips,252647,Liothrips,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Thysanoptera,Tubulifera,,,Phlaeothripidae,Phlaeothripinae,,Liothrips,
Liparis,157721,Liparis,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Liparidae,,,Liparis,
Lirabuccinum dirum,117642,Lirabuccinum dirum,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Buccinidae,,,Lirabuccinum,Lirabuccinum dirum
Liriomyza,125889,Liriomyza,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,Opomyzoidea,Agromyzidae,Phytomyzinae,,Liriomyza,
Littorina scutulata,69995,Littorina scutulata,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Littorinoidea,Littorinidae,Littorininae,,Littorina,Littorina scutulata
Lobaria pulmonaria,48711,Lobaria pulmonaria,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,Lobaria pulmonaria
Lomentaria hakodatensis,345348,Lomentaria hakodatensis,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,,Lomentariaceae,,,Lomentaria,Lomentaria hakodatensis
Lonicera ciliosa,77832,Lonicera ciliosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,Lonicera ciliosa
Lonicera hispidula,53416,Lonicera hispidula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,Lonicera hispidula
Lontra canadensis,41777,Lontra canadensis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Lutrinae,,Lontra,Lontra canadensis
Lophocampa argentata,84792,Lophocampa argentata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Noctuoidea,Erebidae,Arctiinae,Arctiini,Lophocampa,Lophocampa argentata
Lophocolea bidentata,83960,Lophocolea bidentata,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,,Lophocoleaceae,,,Lophocolea,Lophocolea bidentata
Lophodytes cucullatus,7109,Lophodytes cucullatus,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Lophodytes,Lophodytes cucullatus
Lopholithodes mandtii,459608,Lopholithodes mandtii,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Lithodidae,,,Lopholithodes,Lopholithodes mandtii
Lophopanopeus bellus,50818,Lophopanopeus bellus,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Xanthoidea,Panopeidae,,,Lophopanopeus,Lophopanopeus bellus
Lottia digitalis,1106826,Lottia digitalis,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,
Lottia pelta,63243,Lottia pelta,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,Lottia pelta
Lottia persona,339143,Lottia persona,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,Lottia persona
Lottia scutum,129962,Lottia scutum,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,Lottia scutum
Lotus corniculatus,47435,Lotus corniculatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Loteae,Lotus,Lotus corniculatus
Loxia curvirostra,10411,Loxia curvirostra,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Fringillidae,,,Loxia,Loxia curvirostra
Lucilia illustris,494868,Lucilia illustris,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,Oestroidea,Calliphoridae,Calliphorinae,Luciliini,Lucilia,Lucilia illustris
Luidia foliolata,195859,Luidia foliolata,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,,Luidiidae,,,Luidia,Luidia foliolata
Lumpenus sagitta,224164,Lumpenus sagitta,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,,Stichaeidae,Lumpeninae,,Lumpenus,Lumpenus sagitta
Luzula campestris,55795,Luzula campestris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Luzula,Luzula campestris
Luzula multiflora multiflora,237139,Luzula multiflora multiflora,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Luzula,Luzula multiflora
Lycoriella,85260,Lycoriella,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Sciaridae,,,Lycoriella,
Lygaeus kalmii,62045,Lygaeus kalmii,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomomorpha,Lygaeoidea,Lygaeidae,Lygaeinae,,Lygaeus,Lygaeus kalmii
Lysimachia latifolia,496537,Lysimachia latifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Primulaceae,Myrsinoideae,,Lysimachia,Lysimachia latifolia
Lysimachia minima,204353,Lysimachia minima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Primulaceae,Myrsinoideae,,Lysimachia,Lysimachia minima
Macoma nasuta,117612,Macoma nasuta,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,Macoma nasuta
Madia gracilis,53135,Madia gracilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Madia,Madia gracilis
Madia sativa,53143,Madia sativa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Madia,Madia sativa
Magallana gigas,605992,Magallana gigas,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Ostreida,,,Ostreoidea,Ostreidae,Crassostreinae,,Magallana,Magallana gigas
Malthodes,177174,Malthodes,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Cantharidae,Malthininae,Malthodini,Malthodes,
Marrubium vulgare,54605,Marrubium vulgare,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Marrubieae,Marrubium,Marrubium vulgare
Mastocarpus papillatus,117807,Mastocarpus papillatus,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Phyllophoraceae,,,Mastocarpus,Mastocarpus papillatus
Matricaria discoidea,52992,Matricaria discoidea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Matricaria,Matricaria discoidea
Mazzaella affinis,348079,Mazzaella affinis,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Gigartinaceae,,,Mazzaella,Mazzaella affinis
Mazzaella parksii,429950,Mazzaella parksii,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Gigartinaceae,,,Mazzaella,Mazzaella parksii
Mazzaella rosea,932003,Mazzaella rosea,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Gigartinaceae,,,Mazzaella,Mazzaella rosea
Mazzaella splendens,71118,Mazzaella splendens,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Gigartinaceae,,,Mazzaella,Mazzaella splendens
Medetera,143462,Medetera,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Orthorrhapha,Empidoidea,Dolichopodidae,Medeterinae,Medeterini,Medetera,
Mediaster aequalis,293174,Mediaster aequalis,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Goniasteridae,Mediasterinae,,Mediaster,Mediaster aequalis
Medicago lupulina,57056,Medicago lupulina,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Medicago,Medicago lupulina
Megaceryle alcyon,2548,Megaceryle alcyon,Animalia,Chordata,Vertebrata,,Aves,,,Coraciiformes,,,,Alcedinidae,,,Megaceryle,Megaceryle alcyon
Megalomma,421750,Megalomma,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Caraboidea,Carabidae,Cicindelinae,Cicindelini,Megalomma,
Megaselia,123837,Megaselia,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,,Phoridae,Metopininae,,Megaselia,
Melanelixia subaurifera,194686,Melanelixia subaurifera,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Melanelixia,Melanelixia subaurifera
Melanitta perspicillata,7036,Melanitta perspicillata,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Melanitta,Melanitta perspicillata
Melanostoma,70406,Melanostoma,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,,Syrphidae,Syrphinae,Bacchini,Melanostoma,
Melibe leonina,48455,Melibe leonina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Tethydidae,,,Melibe,Melibe leonina
Melica subulata,77986,Melica subulata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Meliceae,Melica,Melica subulata
Melospiza melodia,9100,Melospiza melodia,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Melospiza,Melospiza melodia
Membranipora villosa,360867,Membranipora villosa,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Membraniporina,,Membraniporoidea,Membraniporidae,,,Membranipora,Membranipora villosa
Membranoptera platyphylla,873897,Membranoptera platyphylla,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,,Delesseriaceae,Delesserioideae,,Membranoptera,Membranoptera platyphylla
Menegazzia subsimilis,194700,Menegazzia subsimilis,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Menegazzia,Menegazzia subsimilis
Menegazzia terebrata,123677,Menegazzia terebrata,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Menegazzia,Menegazzia terebrata
Mentha canadensis,77991,Mentha canadensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Mentha,Mentha canadensis
Mergus merganser,7004,Mergus merganser,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Mergus,Mergus merganser
Mergus serrator,6996,Mergus serrator,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Mergus,Mergus serrator
Merodon equestris,194786,Merodon equestris,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,,Syrphidae,Eristalinae,Merodontini,Merodon,Merodon equestris
Mesocentrotus franciscanus,992313,Mesocentrotus franciscanus,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Mesocentrotus,Mesocentrotus franciscanus
Mesorhaga,248222,Mesorhaga,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Orthorrhapha,Empidoidea,Dolichopodidae,Sciapodinae,,Mesorhaga,
Metacarcinus magister,63697,Metacarcinus magister,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus magister
Metandrocarpa taylori,371195,Metandrocarpa taylori,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Styelidae,,,Metandrocarpa,Metandrocarpa taylori
Metridium farcimen,51812,Metridium farcimen,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium farcimen
Metridium senile,49071,Metridium senile,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium senile
Micranthes rufidula,357949,Micranthes rufidula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,,Micranthes,Micranthes rufidula
Microcladia borealis,339006,Microcladia borealis,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,,Ceramiaceae,,,Microcladia,Microcladia borealis
Microcladia coulteri,71116,Microcladia coulteri,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,,Ceramiaceae,,,Microcladia,Microcladia coulteri
Micropsectra,345325,Micropsectra,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Tanytarsini,Micropsectra,
Microseris,54047,Microseris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Microseris,
Misumena vatia,55746,Misumena vatia,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,,,Misumena,Misumena vatia
Mitrocoma cellularia,493918,Mitrocoma cellularia,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Mitrocomidae,,,Mitrocoma,Mitrocoma cellularia
Modiolus rectus,196218,Modiolus rectus,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Modiolinae,,Modiolus,Modiolus rectus
Moehringia macrophylla,61884,Moehringia macrophylla,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Arenarieae,Moehringia,Moehringia macrophylla
Molothrus ater,10373,Molothrus ater,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Icteridae,,,Molothrus,Molothrus ater
Molpadia intermedia,293144,Molpadia intermedia,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Molpadida,,,,Molpadiidae,,,Molpadia,Molpadia intermedia
Monadenia fidelis,62803,Monadenia fidelis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia fidelis
Monochamus scutellatus,82043,Monochamus scutellatus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Cerambycoidea,Cerambycidae,Lamiinae,Lamiini,Monochamus,Monochamus scutellatus
Monotropa uniflora,49477,Monotropa uniflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Monotropoideae,,Monotropa,Monotropa uniflora
Montia dichotoma,78119,Montia dichotoma,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Montia,Montia dichotoma
Montia parvifolia,78123,Montia parvifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Montia,Montia parvifolia
Mopalia hindsii,51725,Mopalia hindsii,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia hindsii
Mopalia kennerleyi,360858,Mopalia kennerleyi,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia kennerleyi
Mopalia lignosa,51724,Mopalia lignosa,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia lignosa
Mopalia muscosa,117633,Mopalia muscosa,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia muscosa
Mopalia spectabilis,364026,Mopalia spectabilis,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia spectabilis
Mopalia swanii,339904,Mopalia swanii,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia swanii
Munida quadrispina,334674,Munida quadrispina,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Galatheoidea,Munididae,,,Munida,Munida quadrispina
Mycale adhaerens,256010,Mycale adhaerens,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Mycalidae,,,Mycale,Mycale adhaerens
Mycelis muralis,48543,Mycelis muralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Mycelis,Mycelis muralis
Mycetophagus,90072,Mycetophagus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Mycetophagidae,,,Mycetophagus,
Mycetophila,354840,Mycetophila,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,,,Mycetophila,
Mycomya,354830,Mycomya,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Mycomyinae,,Mycomya,
Myotis californicus,40342,Myotis californicus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,Myotis californicus
Myotis lucifugus,40346,Myotis lucifugus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,Myotis lucifugus
Myotis yumanensis,40325,Myotis yumanensis,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,Myotis yumanensis
Mytilimeria nuttalli,873896,Mytilimeria nuttalli,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,,Pandoroidea,Lyonsiidae,,,Mytilimeria,Mytilimeria nuttalli
Mytilus,62807,Mytilus,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Mytilinae,,Mytilus,
Myxicola infundibulum,49533,Myxicola infundibulum,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,Myxicola infundibulum
Myxilla incrustans,256019,Myxilla incrustans,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Myxillidae,,,Myxilla,Myxilla incrustans
Myxilla lacunosa,459826,Myxilla lacunosa,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Myxillidae,,,Myxilla,Myxilla lacunosa
Nanomia bijuga,506580,Nanomia bijuga,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,,Agalmatidae,,,Nanomia,Nanomia bijuga
Nassarius mendicus,129938,Nassarius mendicus,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Nassariidae,Nassariinae,,Nassarius,Nassarius mendicus
Navarretia squarrosa,53157,Navarretia squarrosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Polemoniaceae,,,Navarretia,Navarretia squarrosa
Neckera douglasii,69912,Neckera douglasii,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Neckeraceae,,,Neckera,Neckera douglasii
Neckera menziesii,1149640,Neckera menziesii,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Neckeraceae,,,Neckera,Neckera menziesii
Nemophila parviflora,57353,Nemophila parviflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Hydrophylloideae,,Nemophila,Nemophila parviflora
Neoagarum fimbriatum,895193,Neoagarum fimbriatum,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,,Agaraceae,,,Neoagarum,Neoagarum fimbriatum
Neogale vison,1264432,Neogale vison,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Mustelinae,,Neogale,Neogale vison
Neomolgus littoralis,120956,Neomolgus littoralis,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,Eupodina,Bdelloidea,Bdellidae,,,Neomolgus,Neomolgus littoralis
Neorhodomela larix,67413,Neorhodomela larix,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,,Rhodomelaceae,,,Neorhodomela,Neorhodomela larix
Neosabellaria cementarium,339237,Neosabellaria cementarium,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Sabellariidae,,,Neosabellaria,Neosabellaria cementarium
Neostylidium eschrichtii,897701,Neostylidium eschrichtii,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,,Cerithioidea,Cerithiidae,Bittiinae,,Neostylidium,Neostylidium eschrichtii
Neotrypaea californiensis,56659,Neotrypaea californiensis,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Axiidea,,Callianassidae,,,Neotrypaea,Neotrypaea californiensis
Neoturris breviconis,491131,Neoturris breviconis,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Pandeidae,,,Neoturris,Neoturris breviconis
Nephroma laevigatum,117847,Nephroma laevigatum,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Nephromataceae,,,Nephroma,Nephroma laevigatum
Nephus georgei,225805,Nephus georgei,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Scymninae,Scymnini,Nephus,Nephus georgei
Nepytia phantasmaria,334645,Nepytia phantasmaria,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Geometroidea,Geometridae,Ennominae,Ourapterygini,Nepytia,Nepytia phantasmaria
Nereocystis luetkeana,120499,Nereocystis luetkeana,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,,Laminariaceae,,,Nereocystis,Nereocystis luetkeana
Neverita lewisii,447427,Neverita lewisii,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Naticoidea,Naticidae,Polinicinae,,Neverita,Neverita lewisii
Nippononebria virescens,225961,Nippononebria virescens,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Caraboidea,Carabidae,Nebriinae,Nebriini,Nebria,Nippononebria virescens
Noctua pronuba,81687,Noctua pronuba,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Noctua,Noctua pronuba
Notocomplana,56707,Notocomplana,Animalia,Platyhelminthes,Rhabditophora,,,,,Polycladida,Acotylea,,Leptoplanoidea,Notocomplanidae,,,Notocomplana,
Nucella canaliculata,69998,Nucella canaliculata,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,Nucella canaliculata
Nucella lamellosa,117641,Nucella lamellosa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,Nucella lamellosa
Nucella lima,371067,Nucella lima,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,Nucella lima
Nuttallia obscurata,430211,Nuttallia obscurata,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Psammobiidae,,,Nuttallia,Nuttallia obscurata
Obelia,49536,Obelia,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Campanulariidae,,,Obelia,
