Critical Note,iNaturalist taxon name,iNaturalist taxon ID,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Date Reported
,Membranoptera platyphylla,873897,5,"{""PMLS:1275"":[49.03,-123.58667],""PMLS:2510"":[49.1287,-123.7029],""PMLS:2690"":[49.1287,-123.7029],""PMLS:2807"":[49.03,-123.58667],""PMLS:3494"":[49.1287,-123.7029]}",Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,,Delesseriaceae,Delesserioideae,,Membranoptera,Membranoptera platyphylla,,PMLS,wreck of the Del Norte,2008-03-23T11:43:00.000Z,,PMLS,Josef Point,2011-09-11T14:50:00.000Z
,Menegazzia subsimilis,194700,1,"{""iNat:9282020"":[49.110976,-123.696336]}",Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Menegazzia,Menegazzia subsimilis,Andrew Simon,iNat,,2017-07-28T00:00:00.000Z,Andrew Simon,iNat,,2017-07-28T00:00:00.000Z
,Menegazzia terebrata,123677,2,"{""iNat:9281618"":[49.047712,-123.614013]}",Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Menegazzia,Menegazzia terebrata,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,Andrew Simon,iNat,,2017-09-06T06:44:00.000Z
,Mentha canadensis,77991,4,"{""iNat:9281644"":[49.050178,-123.620184],""iNat:59625867"":[49.043883,-123.627242],""iNat:59625872"":[49.057869,-123.624022]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Nepetoideae,Mentheae,Mentha,Mentha canadensis,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,John D Reynolds,iNat,,2020-09-06T19:40:00.000Z
,Mergus merganser,7004,2,"{""iNat:37119314"":[49.125217,-123.701754],""iNat:38943301"":[49.125696,-123.69747]}",Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Mergus,Mergus merganser,John D Reynolds,iNat,,2019-12-29T23:02:00.000Z,John D Reynolds,iNat,,2020-02-18T21:10:00.000Z
,Mergus serrator,6996,2,"{""iNat:38943344"":[49.125713,-123.696601],""iNat:38943345"":[49.126021,-123.697416]}",Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Mergus,Mergus serrator,John D Reynolds,iNat,,2020-02-18T20:26:00.000Z,John D Reynolds,iNat,,2020-02-18T21:17:00.000Z
,Merodon equestris,194786,1,"{""RBCM:252"":[49.058056,-123.623889]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,,Syrphidae,Eristalinae,Merodontini,Merodon,Merodon equestris,Robin Weber,RBCM,Valdes Island,2018-06-17T00:00:00.000Z,Robin Weber,RBCM,Valdes Island,2018-06-17T00:00:00.000Z
,Mesocentrotus franciscanus,992313,47,"{""PMLS:120"":[49.087832,-123.684704],""PMLS:223"":[49.1287,-123.7029],""PMLS:322"":[49.1287,-123.7029],""PMLS:425"":[49.1287,-123.7029],""PMLS:537"":[49.1287,-123.7029],""PMLS:616"":[49.12667,-123.69167],""PMLS:718"":[49.1287,-123.7029],""PMLS:803"":[49.1287,-123.7029],""PMLS:930"":[49.1287,-123.7029],""PMLS:1028"":[49.1287,-123.7029],""PMLS:1095"":[49.055777,-123.657959],""PMLS:1227"":[49.04,-123.595],""PMLS:1383"":[49.03,-123.58667],""PMLS:1516"":[49.01667,-123.595],""PMLS:1609"":[49.03,-123.58667],""PMLS:1732"":[49.1287,-123.7029],""PMLS:1829"":[49.03,-123.58667],""PMLS:1940"":[49.03,-123.58667],""PMLS:2040"":[49.03,-123.58667],""PMLS:2100"":[49.03,-123.58667],""PMLS:2231"":[49.01833,-123.59],""PMLS:2325"":[49.03,-123.58667],""PMLS:2427"":[49.03,-123.58667],""PMLS:2474"":[49.03,-123.58667],""PMLS:2570"":[49.1287,-123.7029],""PMLS:2650"":[49.03,-123.58667],""PMLS:2764"":[49.1287,-123.7029],""PMLS:2880"":[49.03,-123.58667],""PMLS:3002"":[49.01833,-123.59],""PMLS:3106"":[49.01833,-123.59],""PMLS:3204"":[49.03,-123.58667],""PMLS:3289"":[49.03,-123.58667],""PMLS:3393"":[49.03,-123.58667],""PMLS:3460"":[49.03,-123.58667],""PMLS:3572"":[49.1287,-123.7029],""PMLS:3649"":[49.02333,-123.585],""PMLS:3727"":[49.03,-123.58667],""PMLS:3838"":[49.1287,-123.7029],""PMLS:3937"":[49.03,-123.58667],""PMLS:4014"":[49.1287,-123.7029],""PMLS:4067"":[49.03,-123.58667],""PMLS:4149"":[49.1287,-123.7029],""PMLS:4278"":[49.1287,-123.7029],""PMLS:4313"":[49.087832,-123.684704],""PMLS:4325"":[49.087832,-123.684704],""PMLS:4355"":[49.087832,-123.684704]}",Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Mesocentrotus,Mesocentrotus franciscanus,,PMLS,Valdes Island cliffs,1985-07-28T10:05:00.000Z,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Mesorhaga,248222,1,"{""RBCM:253"":[49.058056,-123.623889]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Orthorrhapha,Empidoidea,Dolichopodidae,Sciapodinae,,Mesorhaga,,Robin Weber,RBCM,Valdes Island,2018-06-17T00:00:00.000Z,Robin Weber,RBCM,Valdes Island,2018-06-17T00:00:00.000Z
,Metacarcinus magister,63697,3,"{""PMLS:1080"":[49.055777,-123.657959],""PMLS:1136"":[49.01585,-123.611406],""PMLS:3888"":[49.01585,-123.611406]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus magister,,PMLS,Blackberry Point Reef,2006-06-02T09:32:00.000Z,,PMLS,Cardale Point,2013-01-02T12:22:00.000Z
,Metandrocarpa taylori,371195,21,"{""PMLS:233"":[49.1287,-123.7029],""PMLS:332"":[49.1287,-123.7029],""PMLS:431"":[49.1287,-123.7029],""PMLS:543"":[49.1287,-123.7029],""PMLS:722"":[49.1287,-123.7029],""PMLS:812"":[49.1287,-123.7029],""PMLS:941"":[49.1287,-123.7029],""PMLS:1034"":[49.1287,-123.7029],""PMLS:1233"":[49.04,-123.595],""PMLS:1741"":[49.1287,-123.7029],""PMLS:2237"":[49.01833,-123.59],""PMLS:2578"":[49.1287,-123.7029],""PMLS:2770"":[49.1287,-123.7029],""PMLS:3011"":[49.01833,-123.59],""PMLS:3579"":[49.1287,-123.7029],""PMLS:3735"":[49.03,-123.58667],""PMLS:3847"":[49.1287,-123.7029],""PMLS:4019"":[49.1287,-123.7029],""PMLS:4071"":[49.03,-123.58667],""PMLS:4158"":[49.1287,-123.7029],""PMLS:4283"":[49.1287,-123.7029]}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Styelidae,,,Metandrocarpa,Metandrocarpa taylori,,PMLS,Josef Bay,1986-07-13T09:15:00.000Z,,PMLS,Josef Point,2012-08-08T14:01:00.000Z
,Metridium farcimen,51812,36,"{""PMLS:856"":[49.1287,-123.7029],""PMLS:1056"":[49.055777,-123.657959],""PMLS:1120"":[49.01585,-123.611406],""PMLS:1166"":[49.04,-123.595],""PMLS:1289"":[49.03,-123.58667],""PMLS:1438"":[49.01667,-123.595],""PMLS:1564"":[49.03,-123.58667],""PMLS:1660"":[49.1287,-123.7029],""PMLS:1779"":[49.03,-123.58667],""PMLS:1878"":[49.03,-123.58667],""PMLS:1985"":[49.03,-123.58667],""PMLS:2072"":[49.03,-123.58667],""PMLS:2122"":[49.03,-123.58667],""PMLS:2156"":[49.01833,-123.59],""PMLS:2281"":[49.03,-123.58667],""PMLS:2374"":[49.03,-123.58667],""PMLS:2449"":[49.03,-123.58667],""PMLS:2519"":[49.1287,-123.7029],""PMLS:2604"":[49.03,-123.58667],""PMLS:2703"":[49.1287,-123.7029],""PMLS:2815"":[49.03,-123.58667],""PMLS:2932"":[49.01833,-123.59],""PMLS:3040"":[49.01833,-123.59],""PMLS:3140"":[49.03,-123.58667],""PMLS:3237"":[49.03,-123.58667],""PMLS:3337"":[49.03,-123.58667],""PMLS:3426"":[49.03,-123.58667],""PMLS:3509"":[49.1287,-123.7029],""PMLS:3686"":[49.03,-123.58667],""PMLS:3778"":[49.1287,-123.7029],""PMLS:3872"":[49.01585,-123.611406],""PMLS:3914"":[49.03,-123.58667],""PMLS:3972"":[49.1287,-123.7029],""PMLS:4047"":[49.03,-123.58667],""PMLS:4092"":[49.1287,-123.7029],""PMLS:4208"":[49.1287,-123.7029]}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium farcimen,,PMLS,Josef Point,1994-10-23T13:45:00.000Z,,PMLS,Cardale Point,2013-01-02T12:22:00.000Z
,Metridium senile,49071,19,"{""PMLS:0"":[49.040699,-123.644925],""PMLS:12"":[49.040699,-123.644925],""PMLS:28"":[49.126005,-123.717882],""PMLS:51"":[49.040699,-123.644925],""PMLS:70"":[49.087832,-123.684704],""PMLS:157"":[49.1287,-123.7029],""PMLS:259"":[49.1287,-123.7029],""PMLS:377"":[49.1287,-123.7029],""PMLS:479"":[49.1287,-123.7029],""PMLS:669"":[49.1287,-123.7029],""PMLS:975"":[49.1287,-123.7029],""PMLS:1659"":[49.1287,-123.7029],""PMLS:3508"":[49.1287,-123.7029],""PMLS:3913"":[49.03,-123.58667],""PMLS:3971"":[49.1287,-123.7029],""PMLS:4046"":[49.03,-123.58667]}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium senile,,PMLS,Shingle Point Reef,1968-08-01T12:00:00.000Z,,VIC,Valdes Island,2016-06-04T00:00:00.000Z
,Micranthes rufidula,357949,5,"{""iNat:6910042"":[49.049581,-123.616303],""iNat:19390387"":[49.048537,-123.617518],""UBC:74"":[49.117839,-123.684617],""ASIMON:19"":[49.047231,-123.613556]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,,Micranthes,Micranthes rufidula,George W. Douglas,UBC,Valdes Island,1998-03-19T00:00:00.000Z,John D Reynolds,iNat,,2017-06-25T00:45:00.000Z
,Microcladia borealis,339006,4,"{""PMLS:2677"":[49.1287,-123.7029],""PMLS:2793"":[49.03,-123.58667],""PMLS:3481"":[49.1287,-123.7029]}",Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,,Ceramiaceae,,,Microcladia,Microcladia borealis,,PMLS,Josef Point,2009-02-21T12:43:00.000Z,,VIC,Valdes Island,2016-06-04T00:00:00.000Z
,Microcladia coulteri,71116,2,"{""PMLS:3489"":[49.1287,-123.7029]}",Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,,Ceramiaceae,,,Microcladia,Microcladia coulteri,,PMLS,Josef Point,2011-09-11T14:50:00.000Z,,PMLS,Josef Point,2011-09-11T14:50:00.000Z
,Micropsectra,345325,2,"{""RBCM:254"":[49.041111,-123.608056],""RBCM:255"":[49.041111,-123.608056]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Chironominae,Tanytarsini,Micropsectra,,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z,Joel Gibson; Anabel Gibson,RBCM,Valdes Island,2017-06-23T00:00:00.000Z
,Microseris,54047,1,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Microseris,,,,,,,,,
,Misumena vatia,55746,1,"{""RBCM:256"":[49.058056,-123.623889]}",Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Thomisoidea,Thomisidae,,,Misumena,Misumena vatia,Joel Gibson; J Canning; Lynn Falconer,RBCM,Valdes Island,2016-06-04T00:00:00.000Z,Joel Gibson; J Canning; Lynn Falconer,RBCM,Valdes Island,2016-06-04T00:00:00.000Z
,Mitrocoma cellularia,493918,9,"{""PMLS:77"":[49.087832,-123.684704],""PMLS:871"":[49.1287,-123.7029],""PMLS:1061"":[49.055777,-123.657959],""PMLS:1124"":[49.01585,-123.611406],""PMLS:1677"":[49.1287,-123.7029],""PMLS:1996"":[49.03,-123.58667],""PMLS:3350"":[49.03,-123.58667],""PMLS:3963"":[49.1287,-123.7029],""PMLS:4040"":[49.03,-123.58667]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Mitrocomidae,,,Mitrocoma,Mitrocoma cellularia,,PMLS,Valdes Island cliffs,1985-07-28T10:05:00.000Z,,PMLS,wreck of the Del Norte,2009-10-10T14:12:00.000Z
,Modiolus rectus,196218,1,"{""PMLS:1127"":[49.01585,-123.611406]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Modiolinae,,Modiolus,Modiolus rectus,,PMLS,Cardale Point,2006-06-02T11:12:00.000Z,,PMLS,Cardale Point,2006-06-02T11:12:00.000Z
,Moehringia macrophylla,61884,1,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Arenarieae,Moehringia,Moehringia macrophylla,,,,,,,,
,Molothrus ater,10373,1,,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Icteridae,,,Molothrus,Molothrus ater,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",VIC,Valdes Island,2016-01-01T00:00:00.000Z,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Molpadia intermedia,293144,1,"{""RBCM:3"":[49.211667,-123.461667]}",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Molpadida,,,,Molpadiidae,,,Molpadia,Molpadia intermedia,Philip Lambert,RBCM,Valdes Island,1974-01-28T00:00:00.000Z,Philip Lambert,RBCM,Valdes Island,1974-01-28T00:00:00.000Z
,Monadenia fidelis,62803,6,"{""iNat:9281622"":[49.048462,-123.614104],""iNat:13100453"":[49.063194,-123.630861],""iNat:46406283"":[49.031814,-123.599261],""iNat:73645847"":[49.063481,-123.647278],""iNat:90603034"":[49.070989,-123.644675]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia fidelis,John D Reynolds,VIC,Valdes Island,2016-01-01T00:00:00.000Z,John D Reynolds,iNat,,2021-08-07T17:41:00.000Z
,Monochamus scutellatus,82043,1,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Cerambycoidea,Cerambycidae,Lamiinae,Lamiini,Monochamus,Monochamus scutellatus,,VIC,Valdes Island,2016-01-01T00:00:00.000Z,,VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Monotropa uniflora,49477,7,"{""iNat:9282035"":[49.112069,-123.696574],""iNat:30056549"":[49.037513,-123.606653],""iNat:52206440"":[49.030225,-123.597537],""iNat:85523914"":[49.037711,-123.604322],""iNat:86281392"":[49.04233,-123.614617],""iNat:86488905"":[49.037664,-123.60527]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Monotropoideae,,Monotropa,Monotropa uniflora,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,Andrew Simon,iNat,,2021-07-07T16:29:30.000Z
,Montia dichotoma,78119,1,"{""RBCM:495"":[49.083333,-123.666667]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Montia,Montia dichotoma,Adolf Ceska,RBCM,Valdes Island,1979-05-05T00:00:00.000Z,Adolf Ceska,RBCM,Valdes Island,1979-05-05T00:00:00.000Z
,Montia parvifolia,78123,4,"{""iNat:9281631"":[49.05013,-123.616814],""iNat:19390399"":[49.048537,-123.617518]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Montia,Montia parvifolia,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,Andrew Simon,iNat,,2017-09-06T06:44:00.000Z
,Mopalia hindsii,51725,8,"{""PMLS:1798"":[49.03,-123.58667],""PMLS:2400"":[49.03,-123.58667],""PMLS:2544"":[49.1287,-123.7029],""PMLS:2728"":[49.1287,-123.7029],""PMLS:2842"":[49.03,-123.58667],""PMLS:2966"":[49.01833,-123.59],""PMLS:3069"":[49.01833,-123.59],""PMLS:3532"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia hindsii,,PMLS,wreck of the Del Norte,2008-05-30T11:54:00.000Z,,PMLS,Josef Point,2011-09-11T14:50:00.000Z
,Mopalia kennerleyi,360858,2,"{""PMLS:1694"":[49.1287,-123.7029],""PMLS:2727"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia kennerleyi,,PMLS,Josef Point,2008-05-18T09:20:00.000Z,,PMLS,Josef Point,2009-02-21T12:43:00.000Z
,Mopalia lignosa,51724,10,"{""PMLS:1331"":[49.03,-123.58667],""PMLS:1473"":[49.01667,-123.595],""PMLS:1902"":[49.03,-123.58667],""PMLS:2004"":[49.03,-123.58667],""PMLS:2186"":[49.01833,-123.59],""PMLS:2965"":[49.01833,-123.59],""PMLS:4219"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia lignosa,,PMLS,Josef Point,1997-10-19T12:23:00.000Z,,VIC,Valdes Island,2016-06-04T00:00:00.000Z
,Mopalia muscosa,117633,3,,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia muscosa,,VIC,Valdes Island,2014-05-31T00:00:00.000Z,,VIC,Valdes Island,2016-06-04T00:00:00.000Z
,Mopalia spectabilis,364026,4,"{""PMLS:2187"":[49.01833,-123.59],""PMLS:3800"":[49.1287,-123.7029],""PMLS:4112"":[49.1287,-123.7029],""PMLS:4220"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia spectabilis,,PMLS,Josef Point,1997-02-01T09:55:00.000Z,,PMLS,Josef Point,2012-08-08T14:01:00.000Z
,Mopalia swanii,339904,5,"{""PMLS:1332"":[49.03,-123.58667],""PMLS:1580"":[49.03,-123.58667],""PMLS:3531"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia swanii,,PMLS,wreck of the Del Norte,2008-03-23T11:43:00.000Z,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Munida quadrispina,334674,2,"{""PMLS:4397"":[49.087832,-123.684704]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Galatheoidea,Munididae,,,Munida,Munida quadrispina,,PMLS,Valdes Island cliffs,2015-06-09T11:00:00.000Z,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Mycale adhaerens,256010,7,"{""PMLS:973"":[49.1287,-123.7029],""PMLS:1165"":[49.04,-123.595],""PMLS:1287"":[49.03,-123.58667],""PMLS:1655"":[49.1287,-123.7029],""PMLS:2603"":[49.03,-123.58667],""PMLS:3685"":[49.03,-123.58667],""PMLS:3777"":[49.1287,-123.7029]}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Mycalidae,,,Mycale,Mycale adhaerens,,PMLS,Josef Point,1995-04-23T10:05:00.000Z,,PMLS,Josef Point,2012-08-08T14:01:00.000Z
,Mycelis muralis,48543,9,"{""iNat:6910114"":[49.041758,-123.639708],""iNat:9281980"":[49.110976,-123.696336],""iNat:19382355"":[49.057618,-123.626254],""iNat:30465383"":[49.064503,-123.654542],""iNat:55809964"":[49.064544,-123.654625],""iNat:59625870"":[49.048756,-123.625075],""iNat:96844172"":[49.020008,-123.604386]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Mycelis,Mycelis muralis,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,John D Reynolds,iNat,,2021-09-04T17:45:00.000Z
,Mycetophagus,90072,1,"{""RBCM:257"":[49.041111,-123.608056]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Tenebrionoidea,Mycetophagidae,,,Mycetophagus,,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z,Joel Gibson; Mark Bateman,RBCM,Valdes Island,2016-06-05T00:00:00.000Z
,Mycetophila,354840,1,"{""RBCM:258"":[49.058056,-123.623889]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,,,Mycetophila,,Joel Gibson; J Canning; Lynn Falconer,RBCM,Valdes Island,2016-06-04T00:00:00.000Z,Joel Gibson; J Canning; Lynn Falconer,RBCM,Valdes Island,2016-06-04T00:00:00.000Z
,Mycomya,354830,1,"{""RBCM:259"":[49.041111,-123.608056]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Bibionomorpha,Sciaroidea,Mycetophilidae,Mycomyinae,,Mycomya,,Joel Gibson; Anabel Gibson,RBCM,Valdes Island,2017-06-23T00:00:00.000Z,Joel Gibson; Anabel Gibson,RBCM,Valdes Island,2017-06-23T00:00:00.000Z
,Myotis californicus,40342,2,"{""VIC:452"":[49.058877,-123.652623],""VIC:453"":[49.052149,-123.616213]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,Myotis californicus,,VIC,Valdes Island,2019-05-18T00:00:00.000Z,,VIC,Valdes Island,2019-05-19T00:00:00.000Z
,Myotis lucifugus,40346,1,"{""VIC:454"":[49.052149,-123.616213]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,Myotis lucifugus,,VIC,Valdes Island,2019-05-19T00:00:00.000Z,,VIC,Valdes Island,2019-05-19T00:00:00.000Z
,Myotis yumanensis,40325,1,"{""VIC:455"":[49.052149,-123.616213]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,Myotis yumanensis,,VIC,Valdes Island,2019-05-19T00:00:00.000Z,,VIC,Valdes Island,2019-05-19T00:00:00.000Z
,Mytilimeria nuttalli,873896,3,"{""PMLS:188"":[49.1287,-123.7029],""PMLS:287"":[49.1287,-123.7029],""PMLS:775"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,,Pandoroidea,Lyonsiidae,,,Mytilimeria,Mytilimeria nuttalli,,PMLS,Josef Bay,1986-07-13T09:15:00.000Z,,PMLS,Josef Point,1993-09-26T06:30:00.000Z
,Mytilus,62807,14,"{""PMLS:771"":[49.1287,-123.7029],""PMLS:888"":[49.1287,-123.7029],""PMLS:997"":[49.1287,-123.7029],""PMLS:1697"":[49.1287,-123.7029],""PMLS:2190"":[49.01833,-123.59],""PMLS:2301"":[49.03,-123.58667],""PMLS:2401"":[49.03,-123.58667],""PMLS:2968"":[49.01833,-123.59],""PMLS:3070"":[49.01833,-123.59],""PMLS:3988"":[49.1287,-123.7029],""VIC:310"":[49.059442,-123.624488]}",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Mytilinae,,Mytilus,,,PMLS,Josef Point,1993-09-26T06:30:00.000Z,,VIC,Valdes Island,2016-06-04T00:00:00.000Z
,Myxicola infundibulum,49533,13,"{""PMLS:83"":[49.087832,-123.684704],""PMLS:1068"":[49.055777,-123.657959],""PMLS:1178"":[49.04,-123.595],""PMLS:1318"":[49.03,-123.58667],""PMLS:1460"":[49.01667,-123.595],""PMLS:1895"":[49.03,-123.58667],""PMLS:2081"":[49.03,-123.58667],""PMLS:2295"":[49.03,-123.58667],""PMLS:2394"":[49.03,-123.58667],""PMLS:2835"":[49.03,-123.58667],""PMLS:3698"":[49.03,-123.58667],""PMLS:4103"":[49.1287,-123.7029],""PMLS:4214"":[49.1287,-123.7029]}",Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,Myxicola infundibulum,,PMLS,Valdes Island cliffs,1985-07-28T10:05:00.000Z,,PMLS,wreck of the Del Norte,2012-08-06T12:04:00.000Z
,Myxilla incrustans,256019,11,"{""PMLS:972"":[49.1287,-123.7029],""PMLS:1164"":[49.04,-123.595],""PMLS:1286"":[49.03,-123.58667],""PMLS:1436"":[49.01667,-123.595],""PMLS:1563"":[49.03,-123.58667],""PMLS:1654"":[49.1287,-123.7029],""PMLS:1777"":[49.03,-123.58667],""PMLS:1877"":[49.03,-123.58667],""PMLS:2373"":[49.03,-123.58667],""PMLS:2602"":[49.03,-123.58667],""PMLS:3608"":[49.02333,-123.585]}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Myxillidae,,,Myxilla,Myxilla incrustans,,PMLS,Josef Point,1995-04-23T10:05:00.000Z,,PMLS,Canoe Island Reef (Death Rock),2012-07-15T14:21:00.000Z
