iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Subtaxon Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting,Notes,Origin,Critical Notes
Liparis pulchellus,223899,Liparis pulchellus,"Ayres, 1855",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Liparidae,,,Liparis,pulchellus,,showy snailfish,1995-02-23,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Psychrolutes sigalutes,229295,Psychrolutes sigalutes,"(Jordan & Starks, 1895)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Psychrolutinae,,Psychrolutes,sigalutes,,soft sculpin,,,,2011-09-22,Karolle Wall,observed,,native,
Rhamphocottus richardsonii,51881,Rhamphocottus richardsonii,"Günther, 1874",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Rhamphocottidae,,,Rhamphocottus,richardsonii,,grunt sculpin,1981-05-31,Andy Lamb,PMLS,2010-07-14,Karolle Wall,observed,,native,
Sebastes auriculatus,117541,Sebastes auriculatus,"Girard, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,auriculatus,,brown rockfish,1973-09-20,Andy Lamb,PMLS,,,unobserved,,native,
Sebastes caurinus,68597,Sebastes caurinus,"Richardson, 1844",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,caurinus,,copper rockfish,1968-08-02,Andy Lamb,PMLS,2016-05-06,Karolle Wall,observed,,native,
Sebastes diploproa,64448,Sebastes diploproa,"(Gilbert, 1890)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,diploproa,,splitnose rockfish,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Sebastes elongatus,230755,Sebastes elongatus,"Ayres, 1859",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,elongatus,,greenstriped rockfish,2008-05-22,Jackson Chu,Chu (2010),2009-10-03,Jackson Chu,observed,,native,
Sebastes emphaeus,64468,Sebastes emphaeus,"(Starks, 1911)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,emphaeus,,Puget Sound rockfish,1993-08-16,Andy Lamb,PMLS,2015-05-16,Peter Luckham,observed,,native,
Sebastes flavidus,64477,Sebastes flavidus,"(Ayres, 1862)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,flavidus,,yellowtail rockfish,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Sebastes maliger,63386,Sebastes maliger,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,maliger,,quillback rockfish,1982-06-08,C. E. Kasserra,CMN,2008-05-24,Jackson Chu,observed,,native,
Sebastes melanops,47760,Sebastes melanops,"Girard, 1856",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,melanops,,black rockfish,1993-08-16,Andy Lamb,PMLS,,,unobserved,,native,
Sebastes nigrocinctus,230757,Sebastes nigrocinctus,"Ayres, 1859",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,nigrocinctus,,tiger rockfish,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Sebastes proriger,64457,Sebastes proriger,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,proriger,,redstripe rockfish,2008-05-22,Jackson Chu,Chu (2010),2008-05-24,Jackson Chu,observed,,native,
Sebastes ruberrimus,63695,Sebastes ruberrimus,"(Cramer, 1895)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Scorpaenoidei,,,Scorpaenidae,Sebastinae,,Sebastes,ruberrimus,,yellow-eye rockfish,1982-06-08,C. E. Kasserra,CMN,2009-10-03,Jackson Chu,observed,,native,
Syngnathus californiensis,117570,Syngnathus leptorhynchus,"Girard, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Syngnathiformes,Syngnathoidei,,,Syngnathidae,Syngnathinae,,Syngnathus,californiensis,,bay pipefish,1985-12-07,Andy Lamb,PMLS,2016-07-03,Paz Touchburn,observed,,native,
Beringraja binoculata,607477,Beringraja binoculata,"(Girard, 1855)",Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,,Rajiformes,,,,Rajidae,,,Beringraja,binoculata,,big skate,1995-02-23,Charlie Gibbs,PMLS,,,unobserved,,native,
Caliraja rhina,1433668,Beringraja rhina,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,,Rajiformes,,,,Rajidae,,,Caliraja,rhina,,longnose skate,2010-11-12,Andy Lamb,PMLS,,,unobserved,,native,
Squalus suckleyi,201523,Squalus suckleyi,"(Girard, 1855)",Animalia,Chordata,Vertebrata,,Elasmobranchii,Neoselachii,Squalomorphi,Squaliformes,,,,Squalidae,,,Squalus,suckleyi,,Pacific spiny dogfish shark,1982-06-08,C. E. Kasserra,CMN,2017-08-14,Tyson Ehlers,observed,Reported as Squalus acanthias in CMN catalogue,native,Reported as Squalus acanthias (CMNFI 1985-0086.5) in CMN records; Squalus suckleyi replaces Squalus acanthias in the NEP.
Hydrolagus colliei,84182,Hydrolagus colliei,"(Lay & Bennett, 1839)",Animalia,Chordata,Vertebrata,,Holocephali,,,Chimaeriformes,,,,Chimaeridae,,,Hydrolagus,colliei,,spotted ratfish,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Bathydrilus litoreus,957359,Bathydrilus litoreus,"Baker, 1983",Animalia,Annelida,,,Clitellata,Oligochaeta,,Tubificida,Tubificina,,,Naididae,Phallodrilinae,,Bathydrilus,litoreus,,naidid worm,1979-07-05,Randy Baker,RBCM,,,unobserved,,native,
