Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Provincial Status,National Status,Global Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Hexagrammos decagrammus,"(Pallas, 1810)",,kelp greenling,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,Hexagrammos,native,SNR,,GNR,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.4,,2017-07-07,Karolle Wall,https://www.inaturalist.org/observations/6967042,,68596,
Hexagrammos stelleri,"Tilesius, 1810",,whitespotted greenling,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,Hexagrammos,native,SNR,,GNR,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.2,,2016-07-05,Karolle Wall,http://www.inaturalist.org/observations/4015063,,186849,
Ophiodon elongatus,"Girard, 1854",,lingcod,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Ophiodontinae,Ophiodon,native,SNR,,GNR,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976120,,52539,
Oxylebius pictus,"Gill, 1862",,painted greenling,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Oxylebiinae,Oxylebius,native,SNR,,GNR,confirmed,observed,1971-08-21,Andy Lamb,PMLS,,,2019-05-05,Emily Adamczyk,https://www.inaturalist.org/observations/24797825,,48452,
Liparis dennyi,"Jordan & Starks, 1895",,marbled snailfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,Liparis,native,SNR,,GNR,reported,unobserved,1995-02-23,Charlie Gibbs,PMLS,,,,,,,180028,
Liparis pulchellus,"Ayres, 1855",,showy snailfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,Liparis,native,SNR,,GNR,confirmed,observed,1995-02-23,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976683,,223899,
Psychrolutes sigalutes,"(Jordan & Starks, 1895)",,soft sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Psychrolutidae,,Psychrolutes,native,SNR,,GNR,new 2016,observed,,,,,,2011-09-22,Karolle Wall,http://www.inaturalist.org/observations/4051923,,229295,
Rhamphocottus richardsonii,"Günther, 1874",,grunt sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Rhamphocottidae,,Rhamphocottus,native,SNR,,GNR,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2010-07-14,Karolle Wall,http://www.inaturalist.org/observations/4052031,,51881,
Sebastes auriculatus,"Girard, 1854",,brown rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,117541,
Sebastes caurinus,"Richardson, 1844",,copper rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,,2016-05-06,Karolle Wall,http://www.inaturalist.org/observations/3707593,,68597,
Sebastes diploproa,"(Gilbert, 1890)",,splitnose rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,64448,
Sebastes elongatus,"Ayres, 1859",,greenstriped rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,confirmed,observed,2008-05-22,Jackson Chu,Chu (2010),,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/61341018,,230755,
Sebastes emphaeus,"(Starks, 1911)",,Puget Sound rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,confirmed,observed,1993-08-16,Andy Lamb,PMLS,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854781,,64468,
Sebastes flavidus,"(Ayres, 1862)",,yellowtail rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,64477,
Sebastes maliger,"(Jordan & Gilbert, 1880)",,quillback rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.2,,2008-05-24,Jackson Chu,https://www.inaturalist.org/observations/60467718,,63386,
Sebastes melanops,"Girard, 1856",,black rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,47760,
Sebastes nigrocinctus,"Ayres, 1859",,tiger rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,230757,
Sebastes proriger,"(Jordan & Gilbert, 1880)",,redstripe rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,,GNR,confirmed,observed,2008-05-22,Jackson Chu,Chu (2010),,,2008-05-24,Jackson Chu,https://inaturalist.ca/observations/69820987,,64457,
Sebastes ruberrimus,"(Cramer, 1895)",,yellow-eye rockfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,Sebastes,native,SNR,1-SC,GNR,confirmed,observed,1982-06-08,C. E. Kasserra,CMN,CMNFI 1985-0086.3,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/59920024,,63695,
