Taxon,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Author,Common Name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First observed,iNaturalist Link,iNaturalist taxon name,iNaturalist taxon ID,iNaturalist Photo,Notes
Pleuridium subulatum,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,Pleuridium,(Hedw.) Raben.,awl-leaved earthmoss,native,S3? (2015),reported,2016-04-10,Terry McIntosh,UBC,B239019,,,Pleuridium subulatum,128546,,St. John Point
Encalypta ciliata,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Encalyptaceae,,,Encalypta,Hedw.,fringed extinguisher-moss,native,S4S5 (2011),reported,1962-06-04,Wilfred B. Schofield,UBC,B27910,,,Encalypta ciliata,162304,,Village Bay
Encalypta vulgaris,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Encalyptaceae,,,Encalypta,Hedw.,common extinguisher-moss,native,S3S4 (2011),reported,1962-06-04,Wilfred B. Schofield,UBC,B75680,,,Encalypta vulgaris,162314,,Village Bay
Fissidens bryoides,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,,Fissidens,Hedw.,lesser pocket-moss,native,S4S5 (2011),reported,2013-06-08,Curtis R. Bjork,UBC,B228620,,,Fissidens bryoides,124421,,
Fissidens crispus,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,,Fissidens,Sull.,Herzog’s pocket-moss,native,S3S4 (2015),reported,1969-07-11,Wilfred B. Schofield,UBC,B38490,,,Fissidens crispus,67883,,reported as Fissidens limbatus
Fissidens sp.,Plantae,Bryophyta,,,Bryopsida,,,Fissidentales,,,Fissidentaceae,,,Fissidens,,pocket moss,,,confirmed,,,,,,https://www.inaturalist.org/observations/21652939,Fissidens,55339,https://static.inaturalist.org/photos/33522652/medium.jpeg?1553652765,
Entosthodon fascicularis,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Entosthodon,(Hedw.) C. Mull.,banded cord-moss,native,1-SC (SARA 2006),reported,2013-06-08,Curtis R. Bjork,UBC,B228621,,,Entosthodon fascicularis,162342,,"Mt. Parke: 48° 50' 22""N 123° 17' 41""W"
Funaria hygrometrica,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Funaria,Hedw.,common cord-moss,native,S4S5 (2015),new 2019,,,,,,https://www.inaturalist.org/observations/20023020,Funaria hygrometrica,120000,https://static.inaturalist.org/photos/30907026/medium.jpeg?1549076838,
Physcomitrium megalocarpum,Plantae,Bryophyta,,,Bryopsida,,,Funariales,,,Funariaceae,,,Physcomitrium,Kindb.,,unlisted,unlisted,reported,1962-06-04,Wilfred B. Schofield,UBC,B151238,,,Physcomitrium pyriforme,154195,,"synonymous with P. hookeri (recognized by province); P. hookeri var. serratum, that is"
Bucklandiella heterosticha,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,(Hedw.) Bednarek-Ochyra & Ochyra,yellow-green rockmoss,native,S4S5 (2015),reported,2016-04-10,Terry McIntosh,UBC,B239012,,,Racomitrium heterostichum,167683,,
Bucklandiella macounii,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Racomitrium,Kindb.,Macoun’s rockmoss,native,S3S4 (2015),reported,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,Racomitrium macounii,167686,,
Codriophorus acicularis,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Codriophorus,(Hedw.) P. Beauv.,yellow fringe-moss,native ,S4S5 (2015),new 2019,,,,,,https://www.inaturalist.org/observations/24711220,Codriophorus acicularis,487592,https://static.inaturalist.org/photos/38210688/medium.jpeg?1557196961,
Dryptodon patens,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Dryptodon,(Dicks. ex Hedw.) Brid.,spreading fringe-moss,,,reported,1914-05-19,John Macoun,UBC,B171591,,,Dryptodon patens,162126,,
Grimmia attenuata,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,(C. Müll. & Kindb.) Kindb.,rock moss,native,SU (2015),reported,1969-08-21,C.C. Chuang,UBC,B218055,,,Grimmia attenuata,163378,,
Grimmia lisae,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,Grimmia,,,,,new 2019,,,,,,https://www.inaturalist.org/observations/13834236,Grimmia lisae,163391,https://static.inaturalist.org/photos/20415051/medium.jpeg?1530120033,
