Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name
Metandrocarpa taylori,2019-05-05T09:56:00,logged as 1 so assuming 1 patch,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,orange social tunicate
Rhinogobiops nicholsii,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,blackeye goby
Pholis clemensi,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,43,53,longfin gunnel
Sebastes caurinus,2019-05-05T09:56:00,30-40cm,Ballingall Islets Park,48.906568,-123.460574,1,open,43,53,copper rockfish
Hexagrammos decagrammus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,43,53,kelp greenling
Artedius harringtoni,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,43,53,scalyhead sculpin
Metridium farcimen,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,giant plumose anemone
Balanophyllia elegans,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,abundant,open,46,45,orange cup coral
Ptilosarcus gurneyi,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,orange sea pen
Dodecaceria fewkesi,2019-05-05T12:13:00,logged as fringed tube worm,Hawkins Island,48.84,-123.36833,few,open,46,45,fringed filament-worm
Crassadoma gigantea,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,giant rock scallop
Ceratostoma foliatum,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,leafy hornmouth
Cadlina luteomarginata,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,1,open,46,45,yellow-rimmed nudibranch
Triopha catalinae,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,clown nudibranch
Hermissenda crassicornis,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,1,open,46,45,opalescent nudibranch
Cancer productus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,red rock crab
Balanus nubilus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,giant acorn barnacle
Dermasterias imbricata,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,leather star
Mesocentrotus franciscanus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,many,open,46,45,red sea urchin
Strongylocentrotus droebachiensis,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,many,open,46,45,green sea urchin
Metandrocarpa taylori,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,orange social tunicate
Rhinogobiops nicholsii,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,blackeye goby
Sebastes caurinus,2019-05-05T12:13:00,"10-20cm, 20-30cm",Hawkins Island,48.84,-123.36833,2,open,46,45,copper rockfish
Sebastes maliger,2019-05-05T12:13:00,20-30cm,Hawkins Island,48.84,-123.36833,1,open,46,45,quillback rockfish
Sebastes flavidus,2019-05-05T12:13:00,"10-20cm, 20-30cm few of each",Hawkins Island,48.84,-123.36833,some,open,46,45,yellowtail rockfish
Sebastes emphaeus,2019-05-05T12:13:00,10-20cm,Hawkins Island,48.84,-123.36833,1,open,46,45,Puget Sound rockfish
Hexagrammos decagrammus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,1,open,46,45,kelp greenling
Ophiodon elongatus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,present,open,46,45,lingcod
Oxylebius pictus,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,painted greenling
Artedius harringtoni,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,few,open,46,45,scalyhead sculpin
Jordania zonope,2019-05-05T12:13:00,,Hawkins Island,48.84,-123.36833,very many,open,46,45,longfin sculpin
Nereocystis luetkeana,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,bull kelp
Cliona californiana,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,yellow boring sponge
Metridium farcimen,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,giant plumose anemone
Pachycerianthus fimbriatus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,tube-dwelling anemone
Balanophyllia elegans,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,orange cup coral
Ptilosarcus gurneyi,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,orange sea pen
Phidolopora pacifica,2019-05-04T09:45:00,logged as lacy bryozoan,Campbell Bay,48.85833,-123.26833,few,open,55,45,lattice-work bryozoan
Ceratostoma foliatum,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,leafy hornmouth
Diaulula odonoghuei,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,1,open,55,45,spotted leopard dorid
Cadlina luteomarginata,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,yellow-rimmed nudibranch
Dendronotus iris,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,1,open,55,45,giant nudibranch
Dirona albolineata,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,frosted nudibranch
Pandalus danae,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,coonstripe shrimp
Cancer productus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,red rock crab
Pugettia producta,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,1,open,55,45,northern kelp crab
