iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Anchusa officinalis,75430,Amaranthus albus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Anchusa,officinalis,saanich,Goddard Siney 1934. MCM Oak Bay 1957-1958. G. Allen Cadboro Bay 2016. Hardy Blenkinsop lake 1942. MCM Cedar Hill X Road 1963. Records at V and CPNWH appear as both albus and blitoides. (?),,,,COMP-Saanich:54
Anemonoides grayi,950609,Amaranthus blitoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Anemoneae,Anemonoides,quinquefolia,saanich,"Common weed of cultivated lands; introduced from tropical America and well established in Victoria, Saanich, Prospect Lake, and the Sidney area.",,,,COMP-Saanich:55
Angelica lucida,75453,Amaranthus fimbriatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Angelica,lucida,saanich,Nguyen shoreline Esquimalt Lagoon iNaturalist observation 2020. Looks convincing - far out of normal range.,not in FPNW2,,,COMP-Saanich:56
Anisocarpus madioides,53137,Amaranthus powellii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Anisocarpus,madioides,saanich,Macoun Sidney 1913. Corner of Wilkinson and W Saanich Roads Marr 2007. Goddard Royal Oak 1934.,,,,COMP-Saanich:57
Antennaria microphylla,75467,Amaranthus retroflexus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Antennaria,microphylla,saanich,Common weed of cultivated fields; introduced from tropical America and well established throughout. Molyneux 1955 Saanichton Experimental Farm.,,,,COMP-Saanich:58
Antennaria racemosa,75469,Ambrosia chamissonis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Antennaria,racemosa,saanich,Sandy beaches; locally abundant.,,,,COMP-Saanich:59
Anthemis arvensis,52838,Ambrosia trifida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Anthemis,arvensis,saanich,Native of Europe; moist soil and waste places; occasional weed in the area. No vouchers found. On Lomer & Penny's non-established list.,,,,COMP-Saanich:60
Anthemis cotula,52841,Amelanchier alnifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Anthemis,cotula,saanich,"Open woods, hillsides, and roadsides; common throughout.",,,AS,COMP-Saanich:61
Anthoxanthum odoratum,75475,Ammophila arenaria,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Anthoxanthum,odoratum,saanich,Sidney area and Sidney Island. Check for breviligulata and hybrids at V,,,,COMP-Saanich:62
Anthriscus caucalis,52846,Amsinckia intermedia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Anthriscus,caucalis,saanich,"Dry, open ground; a weed of roadsides and waste places; Oak Bay, Victoria, and Sidney.",,,,COMP-Saanich:63
Apera interrupta,75486,Amsinckia lycopsoides,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Apera,interrupta,saanich,"Rare; reported from Sidney by J. Macoun in 1913 and the Uplands by M. C. Melburn in 1953. H&C2018 mention 1921 historical SC BC, chiefly east of Cascades.",,,,COMP-Saanich:64
Alchemilla arvensis,866483,Amsinckia menziesii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Alchemilla,arvensis,saanich,"Dry, open places; rare; collected at Clover Point by M. C. Melburn in 1966. Oak Bay, Victoria, Sidney.",,,,COMP-Saanich:65
