Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Asteraceae,Conyza canadensis (L.) Cronquist,,Open,3,,,,,,Conyza canadensis,(L.) Cronquist
Asteraceae,Coreopsis grandiflora x C. lanceolata *,,Open,1,,,,,,Coreopsis grandiflora,x C. lanceolata *
Asteraceae,Coreopsis lanceolata L.*,,Open,2,,,,,,Coreopsis lanceolata,L.*
Asteraceae,Cotula coronopifolia L.*,,Shoreline,2,,,,,,Cotula coronopifolia,L.*
Asteraceae,Crepis capillaris (L.) Wallr.*,,Open,10,,,,,,Crepis capillaris,(L.) Wallr.*
Asteraceae,Crepis nicaeensis Balbis ex Pers.*,,Open,1,,,,,,Crepis nicaeensis,Balbis ex Pers.*
Asteraceae,Crocidium multicaule Hook.,,Open,2,,,,,,Crocidium multicaule,Hook.
Asteraceae,Erigeron philadelphicus L.,,Forest,1,,,,,,Erigeron philadelphicus,L.
Asteraceae,Erigeron speciosus (Lindl.) DC.,,Open,1,,,,,,Erigeron speciosus,(Lindl.) DC.
Asteraceae,Eriophyllum lanatum (Pursh) J. Forbes,"var. lanatum, var. leucophyllum",Open,33,,,,,,Eriophyllum lanatum,(Pursh) J. Forbes
Asteraceae,Filago arvensis L.*,,Open,1,,,,,,Filago arvensis,L.*
Asteraceae,Filago vulgaris Lam.*,,Open,4,,,,,,Filago vulgaris,Lam.*
Asteraceae,Gamochaeta ustulata (Nutt.) Holub,,Open,26,,,,,,Gamochaeta ustulata,(Nutt.) Holub
Asteraceae,Gnaphalium palustre Nutt.,,Open,4,,,,,,Gnaphalium palustre,Nutt.
Asteraceae,Gnaphalium uliginosum L.*,,Open,4,,,,,,Gnaphalium uliginosum,L.*
Asteraceae,Grindelia integrifolia DC.,,Shoreline,143,,,,,,Grindelia integrifolia,DC.
Asteraceae,Hemizonella minima (A. Gray) A. Gray,,Open,1,,,,,,Hemizonella minima,(A. Gray) A. Gray
Asteraceae,Hieracium albiflorum Hook.,,Forest,31,,,,,,Hieracium albiflorum,Hook.
Asteraceae,Hieracium aurantiacum L.*,,Open,2,,,,,,Hieracium aurantiacum,L.*
Asteraceae,Hieracium caespitosum Dumort.*,,Open,2,,,,,,Hieracium caespitosum,Dumort.*
Asteraceae,Hieracium flagellare Willd.*,,Open,1,,,,,,Hieracium flagellare,Willd.*
Asteraceae,Hieracium stoloniflorum Waldst. & Kit.*,,Open,1,,,,,,Hieracium stoloniflorum,Waldst. & Kit.*
Asteraceae,Hypochaeris glabra L.*,,Open,24,,,,,,Hypochaeris glabra,L.*
Asteraceae,Hypochaeris radicata L.*,,Open,88,,,,,,Hypochaeris radicata,L.*
Asteraceae,Jacobaea maritima (L.) Pelser & Meijden,,Open,1,,,,,,Jacobaea maritima,(L.) Pelser & Meijden
Asteraceae,Jacobaea maritima x J. vulgaris *,,Open,1,,,,,,Jacobaea maritima,x J. vulgaris *
Asteraceae,Jacobaea vulgaris Gaertn.*,,Open,14,,,,,,Jacobaea vulgaris,Gaertn.*
Asteraceae,Jaumea carnosa (Less.) A. Gray,,Shoreline,4,,,,,,Jaumea carnosa,(Less.) A. Gray
Asteraceae,Lactuca ludoviciana (Nutt.) Riddell,,Open,1,,,,,,Lactuca ludoviciana,(Nutt.) Riddell
Asteraceae,Lactuca serriola L.*,,Open,9,,,,,,Lactuca serriola,L.*
Asteraceae,Lapsana communis L.*,,Open,13,,,,,,Lapsana communis,L.*
Asteraceae,Leontodon autumnalis L.*,,Open,4,,,,,,Leontodon autumnalis,L.*
Asteraceae,Leontodon saxatilis Lam.*,ssp. saxatilis,Open,4,,,,,,Leontodon saxatilis,Lam.*
Asteraceae,Leucanthemum maximum (Ramond) DC.*,,Open,1,,,,,,Leucanthemum maximum,(Ramond) DC.*
Asteraceae,Leucanthemum vulgare Lam.*,,Open,7,,,,,,Leucanthemum vulgare,Lam.*
