ID,Date,LatitudeDD,LongitudeDD,SpeciesName,ScientificName,GroupSize,Confidence,SightingsID
593,09/04/19,48.8546,-123.3521,humpback whale,Megaptera novaeangliae,NA,certain,7558A345-8E8F-4C48-A2D7-B419ECE98F06
594,09/06/19,48.8773,-123.297,humpback whale,Megaptera novaeangliae,NA,possible,55BEBE8B-91CD-43E6-8DEE-D4765DDD7823
599,09/25/19,48.8352,-123.3431,humpback whale,Megaptera novaeangliae,NA,certain,C44D2D3D-03A4-4DD5-97DB-AC9767476349
600,09/28/19,48.8636,-123.3089,humpback whale,Megaptera novaeangliae,NA,certain,347596EE-B760-4DF1-8257-A7EE92CC5BA8
601,09/28/19,48.8908,-123.2932,humpback whale,Megaptera novaeangliae,NA,certain,EF86EB24-5DDF-4AEB-A223-966F76AD4592
602,09/29/19,48.9059,-123.2919,humpback whale,Megaptera novaeangliae,-,certain,7bbf42e2-94f4-4cae-a745-487d88a9ef20
605,10/06/19,48.9303,-123.512,humpback whale,Megaptera novaeangliae,NA,certain,48F8606F-EE94-4891-B623-1BD2F6CDCA5C
607,10/13/19,48.8609,-123.3282,humpback whale,Megaptera novaeangliae,NA,certain,56E9B052-686E-44FB-B3A7-59D33A788904
611,11/02/19,48.8868,-123.2858,humpback whale,Megaptera novaeangliae,NA,probable,be3c3fb6-2a18-4ca9-ad4b-29657ae9b344
617,10/13/19,48.8488,-123.348,humpback whale,Megaptera novaeangliae,NA,certain,5dda9173-c7a3-4aa7-be77-2516fc29e568
620,10/19/19,48.8824,-123.297,humpback whale,Megaptera novaeangliae,NA,certain,842c84ec-df48-4844-9f6f-f66d07b174e8
625,12/07/19,48.8927,-123.2968,humpback whale,Megaptera novaeangliae,-,certain,8ef66f6b-faf4-4532-b20b-b6da3fda45de
626,12/14/19,48.8852,-123.2963,humpback whale,Megaptera novaeangliae,-,certain,a020c579-3dee-4328-ad85-eef9aea2047f
628,12/18/19,48.8797,-123.303,humpback whale,Megaptera novaeangliae,-,certain,6ae30d53-180a-4e3d-b126-7891fb6dbd25
630,12/22/19,48.8457,-123.3493,humpback whale,Megaptera novaeangliae,-,certain,c9fe5f94-d792-4a8a-96e2-56fb35a32630
631,12/22/19,48.8537,-123.3531,humpback whale,Megaptera novaeangliae,-,certain,3b004d41-1f2e-4561-9d7e-fd553e018c10
633,12/26/19,48.8672,-123.3047,humpback whale,Megaptera novaeangliae,-,certain,a713753a-c338-4e98-8a99-1227ea729abf
634,08/29/19,49.005,-123.5179,humpback whale,Megaptera novaeangliae,-,certain,b4d823e0-366d-489f-860d-949d08bca98f
638,12/30/19,48.8897,-123.2945,humpback whale,Megaptera novaeangliae,-,certain,3243177c-c114-4b33-9ede-0393185dc46c
641,01/04/20,48.896,-123.2896,humpback whale,Megaptera novaeangliae,-,certain,37a6d2bd-beae-4e45-bf08-17f0f75fe24b
642,01/24/20,48.8798,-123.2955,humpback whale,Megaptera novaeangliae,-,certain,1936429e-1522-451b-a0d0-9d36ce4aa00a
645,03/04/20,48.86,-123.3171,humpback whale,Megaptera novaeangliae,-,certain,3aec4c49-09d1-4421-91d7-78c74358d955
646,03/01/20,48.844,-123.3542,humpback whale,Megaptera novaeangliae,-,certain,124f3f7c-fff1-4001-95d6-248a7999c876
