iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:3060,,,PMLS,,1999-10-02,"Retreat Cove, west of",Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:3448,,,PMLS,,2006-06-23,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:3591,,,PMLS,,2006-06-30,Lighthouse Bay,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:3702,,,PMLS,,2006-09-28,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:4143,,,PMLS,,2006-11-11,Spanish Hills wall,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:4264,,,PMLS,,2006-11-18,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:4458,,,PMLS,,2006-12-02,Spanish Hills wall,Charlie Gibbs
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:4654,,,PMLS,,2007-08-20,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:5417,,,PMLS,,2007-12-15,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:5909,,,PMLS,,2008-02-16,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:7167,,,PMLS,,2008-06-14,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:7547,,,PMLS,,2008-07-19,Spanish Hills Store,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:7659,,,PMLS,,2008-07-19,Dionisio Reef,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:8056,,,PMLS,,2008-10-05,Spanish Hills Store,Andy Lamb
