iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,GBIF ID,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Rossia pacifica,151358,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Sepiida,,,Sepiolidae,Rossiinae,,Rossia,Rossia pacifica,Rossia pacifica,unlisted,unlisted,reported,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,stubby squid
Doryteuthis opalescens,153981,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Myopsida,,,Loliginidae,,,Doryteuthis,Doryteuthis opalescens,Doryteuthis opalescens,unlisted,unlisted,new 2016,,,,2015-08-06,Chessi Miltner,,,http://www.inaturalist.org/observations/3598640,https://static.inaturalist.org/photos/4166243/medium.jpg?1467510391,,,California market squid
Phyllaplysia taylori,49864,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Aplysiida,,Aplysioidea,Aplysiidae,,,Phyllaplysia,Phyllaplysia taylori,Phyllaplysia taylori,unlisted,unlisted,confirmed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,2015-05-21,Karolle Wall,,,http://www.inaturalist.org/observations/3707805,https://static.inaturalist.org/photos/4306331/medium.jpg?1468988140,,,zebra leafslug
Calliostoma ligatum,129920,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Calliostomatidae,Calliostomatinae,,Calliostoma,Calliostoma ligatum,Calliostoma ligatum,unlisted,unlisted,confirmed,,,RBCM,2016-02-07,Peter Luckham,986-00191-008,,http://www.inaturalist.org/observations/2763492,https://static.inaturalist.org/photos/3127779/medium.jpg?1457578699,,,blue topsnail
Ceratostoma foliatum,116687,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Ceratostoma,Ceratostoma foliatum,Ceratostoma foliatum,unlisted,unlisted,confirmed,,,RBCM,2013-10-13,Peter Luckham,986-00191-006,,http://www.inaturalist.org/observations/2976124,https://static.inaturalist.org/photos/3420317/medium.jpg?1461098402,,,leafy hornmouth
Nucella lamellosa,117641,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,Nucella lamellosa,Nucella lamellosa,unlisted,unlisted,confirmed,1961-06-22,Ian McTaggart-Cowan,RBCM,2015-04-04,Andrew Simon,979-03331,1898271380,http://www.inaturalist.org/observations/2567596,https://static.inaturalist.org/photos/2862544/medium.JPG?1452376142,,,wrinkled dogwinkle
Acteocina culcitella,49788,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Cylichnoidea,Cylichnidae,,,Acteocina,Acteocina culcitella,Acteocina culcitella,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03320,1898315360,,,,,
Aglaja ocelligera,49842,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,Aglaja,Aglaja ocelligera,Aglaja ocelligera,unlisted,unlisted,confirmed,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,2016-04-08,Karolle Wall,,,http://www.inaturalist.org/observations/2909670,https://static.inaturalist.org/photos/3329239/medium.jpg?1460259792,,,spotted aglaja
Melanochlamys diomedea,345334,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,Melanochlamys,Melanochlamys diomedea,Melanochlamys diomedea,unlisted,unlisted,confirmed,1975-06-17,Philip Lambert,RBCM,2018-05-29,Karolle Wall,975-00224-004,1898274481,https://www.inaturalist.org/observations/12938503,https://static.inaturalist.org/photos/18802097/medium.jpg?1527635440,,"Reported as Aglaja diomedea (note, however, that WoRMS does not recognize this taxon as a synonym of Melanochlamys diomedea)",Diomedes aglajid
Cylichna attonsa,49792,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Cylichnoidea,Cylichnidae,,,Cylichna,Cylichna attonsa,Cylichna attonsa,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03321,1898288481,,,,,
Gastropteron pacificum,49839,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Gastropteridae,,,Gastropteron,Gastropteron pacificum,Gastropteron pacificum,unlisted,unlisted,reported,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,winged sea slug
Haminoea vesicula,49812,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Haminoeoidea,Haminoeidae,,,Haminoea,Haminoea vesicula,Haminoea vesicula,unlisted,unlisted,confirmed,2018-06-24,Andy Lamb & Donna Gibbs,PMLS,2018-05-30,Karolle Wall,,,https://www.inaturalist.org/observations/12970636,https://static.inaturalist.org/photos/18856757/medium.jpg?1527728160,,,white bubble shell
Myosotella myosotis,225386,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Ellobiida,,Ellobioidea,Ellobiidae,,,Myosotella,Myosotella myosotis,Myosotella myosotis,unlisted,unlisted,new 2016,,,,2016-09-01,Andrew Simon,,,http://www.inaturalist.org/observations/4017005,https://static.inaturalist.org/photos/4745292/medium.jpg?1472819606,,,mouse-eared snail
Puncturella cucullata,904312,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,,,Puncturella,Puncturella cucullata,Cranopsis cucullata,unlisted,unlisted,reported,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,hooded puncturella
Diodora aspera,64148,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,,,Diodora,Diodora aspera,Diodora aspera,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2019-05-04,Norah Brown,,,https://www.inaturalist.org/observations/24519360,https://static.inaturalist.org/photos/37914121/medium.jpeg?1556987288,,,rough keyhole limpet
Haliotis kamtschatkana,56654,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Haliotoidea,Haliotidae,,,Haliotis,Haliotis kamtschatkana,Haliotis kamtschatkana,unlisted,unlisted,reported,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,northern abalone
Crepidula adunca,128141,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,,Crepidula,Crepidula adunca,Crepidula adunca,unlisted,unlisted,reported,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,hooked slippersnail
Crepidula nummaria,117325,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,,Crepidula,Crepidula nummaria,Crepidula nummaria,unlisted,unlisted,reported,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,northern white slippersnail
Trichotropis cancellata,447177,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Capuloidea,Capulidae,,,Trichotropis,Trichotropis cancellata,Trichotropis cancellata,unlisted,unlisted,reported,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,checkered hairysnail
Melanella micans,733259,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Vanikoroidea,Eulimidae,,,Melanella,Melanella micans,Melanella micans,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03323-001,1898291795,,,,,
Marsenina stearnsii,53555,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Cypraeoidea,Velutinidae,Velutininae,,Marsenina,Marsenina stearnsii,Marsenina stearnsii,unlisted,unlisted,new 2016,,,,2016-04-07,Karolle Wall,,,http://www.inaturalist.org/observations/2908642,https://static.inaturalist.org/photos/3327767/medium.jpg?1460248431,,,
Lacuna variegata,339150,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Lacuninae,,Lacuna,Lacuna variegata,Lacuna variegata,unlisted,unlisted,reported,2009-02-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,variable lacuna
Littorina scutulata,69995,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Littorininae,,Littorina,Littorina scutulata,Littorina scutulata,unlisted,unlisted,new 2017,,,,2017-02-13,Kathleen Buckley,,,https://www.inaturalist.org/observations/5108046,https://static.inaturalist.org/photos/6280866/medium.jpeg?1487092095,,,checkered periwinkle
Littorina sitkana,129298,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Littorininae,,Littorina,Littorina sitkana,Littorina sitkana,unlisted,unlisted,new 2017,,,,2017-02-23,Kathleen Buckley,,,https://www.inaturalist.org/observations/5185500,https://static.inaturalist.org/photos/6397552/medium.jpeg?1488150634,,,Sitka periwinkle
Cryptonatica aleutica,507519,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,,,Cryptonatica,Cryptonatica aleutica,Cryptonatica aleutica,unlisted,unlisted,reported,2009-01-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Aleutian moonsnail
Euspira pallida,873876,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,,,Euspira,Euspira pallida,Euspira pallida,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03310-001,1898274458,,,,,pale northern moonsnail
Neverita lewisii,447427,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,,,Neverita,Neverita lewisii,Neverita lewisii,unlisted,unlisted,confirmed,1961-06-23,,RBCM,2016-02-07,Peter Luckham,976-01146-004,1898263889,http://www.inaturalist.org/observations/2763410,https://static.inaturalist.org/photos/3127652/medium.jpg?1457577515,,,Lewis' moon snail
Fusitriton oregonensis,448389,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Tonnoidea,Cymatiidae,,,Fusitriton,Fusitriton oregonensis,Fusitriton oregonensis,unlisted,unlisted,reported,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Oregon triton
Marsenina rhombica,337741,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Cypraeoidea,Velutinidae,Velutininae,,Marsenina,Marsenina rhombica,Marsenina rhombica,unlisted,unlisted,reported,2016-02-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,marbled lamellarid
Velutina plicatilis,482348,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Cypraeoidea,Velutinidae,Velutininae,,Velutina,Velutina plicatilis,Velutina plicatilis,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03324,1898301017,,,,,
Velutina velutina,482347,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Cypraeoidea,Velutinidae,Velutininae,,Velutina,Velutina velutina,Velutina velutina,unlisted,unlisted,reported,2008-03-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,spiral velvet snail
Vermetus compactus,873857,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Vermetoidea,Vermetidae,,,Vermetus,Vermetus compactus,Vermetus compactus,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,northern compact wormsnail
Ophiodermella fancherae,957347,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Conoidea,Borsoniidae,,,Ophiodermella,Ophiodermella fancherae,Ophiodermella fancherae,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03326,1898295480,,,,,
Lirabuccinum dirum,117642,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Buccinidae,,,Lirabuccinum,Lirabuccinum dirum,Lirabuccinum dirum,unlisted,unlisted,confirmed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,2019-05-05,Kiara Ganon,,,https://www.inaturalist.org/observations/24725394,https://static.inaturalist.org/photos/38237591/medium.jpg?1557235516,,,dire whelk
Alia carinata,129933,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Alia,Alia carinata,Alia carinata,unlisted,unlisted,new 2017,,,,2017-05-26,Karolle Wall,,,https://www.inaturalist.org/observations/7674348,https://static.inaturalist.org/photos/10049729/medium.jpg?1503850620,,,carinate dovesnail
Alia gausapata,339169,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Alia,Alia gausapata,Alia gausapata,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03328,1898293242,,,,,
Amphissa columbiana,117643,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Amphissa,Amphissa columbiana,Amphissa columbiana,unlisted,unlisted,reported,,,RBCM,,,986-00191-015,,,,,,wrinkled amphissa
Amphissa versicolor,129932,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Amphissa,Amphissa versicolor,Amphissa versicolor,unlisted,unlisted,reported,2008-11-12,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,variegated amphissa
Nucella canaliculata,69998,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,Nucella canaliculata,Nucella canaliculata,unlisted,unlisted,reported,2005-12-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,channelled dogwinkle
Nucella ostrina,122704,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,Nucella ostrina,Nucella ostrina,unlisted,unlisted,confirmed,2008-02-17,Andy Lamb & Donna Gibbs,PMLS,2019-05-04,Norah Brown,,,https://www.inaturalist.org/observations/24539923,,https://static.inaturalist.org/photos/37945404/original.jpeg?1557004436,,northern striped dogwinkle
Paciocinebrina interfossa,910801,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Paciocinebrina,Paciocinebrina interfossa,Ocinebrina interfossa,unlisted,unlisted,reported,2009-10-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,sculptured rocksnail
Paciocinebrina lurida,910800,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Paciocinebrina,Paciocinebrina lurida,Ocinebrina lurida,unlisted,unlisted,reported,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,lurid rocksnail
Scabrotrophon maltzani,500269,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Trophoninae,,Scabrotrophon,Scabrotrophon maltzani,Scabrotrophon maltzani,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,sandpaper trophon
Trophonopsis orpheus,506559,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Pagodulinae,,Trophonopsis,Trophonopsis orpheus,Trophonopsis orpheus,unlisted,unlisted,reported,1961-06-22,Ian McTaggart-Cowan,RBCM,,,979-03325,1898280329,,,,,
Hima mendica,370749,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Nassariidae,,,Hima,Hima mendica,Hima mendica,unlisted,unlisted,reported,2018-06-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,western lean nassa
Nassarius,50763,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Nassariidae,Nassariinae,,Nassarius,,Nassarius sp.,unlisted,unlisted,reported,1975-06-17,Philip Lambert,RBCM,,,975-00224-001,1898300635,,,,,
Neostylidium eschrichtii,897701,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,Cerithioidea,Cerithiidae,,,Neostylidium,Neostylidium eschrichtii,Neostylidium eschrichtii,unlisted,unlisted,new 2016,,,,2015-08-28,Lauren Magner & Andrew Simon,,,http://www.inaturalist.org/observations/3735167,https://static.inaturalist.org/photos/4340541/medium.jpeg?1469332935,,,threaded bittium
Aegires albopunctatus,48981,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Aegiridae,,,Aegires,Aegires albopunctatus,Aegires albopunctatus,unlisted,unlisted,reported,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,salt-and-pepper nudibranch
Aeolidia loui,498117,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,Aeolidia,Aeolidia loui,Aeolidia loui,unlisted,unlisted,new 2018,,,,2016-04-01,Karolle Wall,,,https://www.inaturalist.org/observations/14385958,https://static.inaturalist.org/photos/21391886/medium.jpg?1531674447,,,shag-rug nudibranch
Aeolidia papillosa,498116,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,Aeolidia,Aeolidia papillosa,Aeolidia papillosa,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763439,https://static.inaturalist.org/photos/3127704/medium.jpg?1457577832,,,papillate sea slug
Apata pricei,631469,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Apataidae,,,Apata,Apata pricei,Apata pricei,unlisted,unlisted,reported,2013-05-17,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Flabellina pricei,,Price's aeolid
Armina californica,47499,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Arminoidea,Arminidae,,,Armina,Armina californica,Armina californica,unlisted,unlisted,confirmed,1975-06-17,Philip Lambert,RBCM,2013-10-13,Peter Luckham,975-00224-003,1898310345,http://www.inaturalist.org/observations/2975918,https://static.inaturalist.org/photos/3420011/medium.jpg?1461097116,,,striped nudibranch
Aldisa albomarginata,50094,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,Aldisa albomarginata,Aldisa albomarginata,unlisted,unlisted,reported,2009-03-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,white-rimmed nudibranch
Aldisa cooperi,50097,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,Aldisa cooperi,Aldisa cooperi,unlisted,unlisted,reported,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Cooper's dorid
Aldisa sanguinea,50098,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,Aldisa sanguinea,Aldisa sanguinea,unlisted,unlisted,confirmed,2013-10-10,Andy Lamb & Donna Gibbs,PMLS,2017-06-25,Karolle Wall,,,https://www.inaturalist.org/observations/31366877,https://static.inaturalist.org/photos/49085842/original.jpg?1566592991,,,blood-spot dorid
Aldisa tara,50100,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,Aldisa tara,Aldisa tara,unlisted,unlisted,reported,2018-06-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Tara's dorid
Cadlina luteomarginata,50146,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Cadlina,Cadlina luteomarginata,Cadlina luteomarginata,unlisted,unlisted,confirmed,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,2016-02-18,Peter Luckham,,,http://www.inaturalist.org/observations/2755483,https://static.inaturalist.org/photos/3116335/medium.jpg?1457385582,,,yellow-rimmed nudibranch
Cadlina modesta,47400,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Cadlina,Cadlina modesta,Cadlina modesta,unlisted,unlisted,reported,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,modest cadlina
Cumanotus fernaldi,50462,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Cumanotidae,,,Cumanotus,Cumanotus fernaldi,Cumanotus fernaldi,unlisted,unlisted,reported,1975-06-17,Philip Lambert,RBCM,,,975-00224-006,1898287119,,,,,nudibranch
Dendronotus albopunctatus,50328,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus albopunctatus,Dendronotus albopunctatus,unlisted,unlisted,new 2016,,,,2015-04-22,Karolle Wall,,,http://www.inaturalist.org/observations/3705779,https://static.inaturalist.org/photos/4303122/medium.jpg?1468962906,,,white-spotted dendronotid
Dendronotus albus,47773,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus albus,Dendronotus albus,unlisted,unlisted,reported,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,white dendronotid
Dendronotus dalli,50329,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus dalli,Dendronotus dalli,unlisted,unlisted,reported,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Dall's dendronotid
Dendronotus frondosus,423919,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus frondosus,Dendronotus frondosus,unlisted,unlisted,new 2018,,,,2018-05-18,Karolle Wall,,,https://www.inaturalist.org/observations/12684296,https://static.inaturalist.org/photos/18360819/medium.jpg?1526928514,,,bushy-backed nudibranch
Dendronotus iris,47706,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus iris,Dendronotus iris,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2013-10-13,Peter Luckham,,,http://www.inaturalist.org/observations/2975966,https://static.inaturalist.org/photos/3420086/medium.jpg?1461097393,,,giant nudibranch
Dendronotus rufus,50393,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus rufus,Dendronotus rufus,unlisted,unlisted,confirmed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,2011-10-07,Karolle Wall,,,http://www.inaturalist.org/observations/3705777,https://static.inaturalist.org/photos/4303203/medium.jpg?1468963428,,,red dendronotid
Dendronotus venustus,129995,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus venustus,Dendronotus venustus,unlisted,unlisted,new 2016,,,,2016-05-24,Karolle Wall,,,http://www.inaturalist.org/observations/3705618,https://static.inaturalist.org/photos/4302953/medium.jpg?1468961299,,,branched dendronotus
Dirona albolineata,47477,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,Dirona albolineata,Dirona albolineata,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763409,https://static.inaturalist.org/photos/3127651/medium.jpg?1457577475,,,frosted nudibranch
Dirona pellucida,50447,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,Dirona pellucida,Dirona pellucida,unlisted,unlisted,confirmed,1973-09-21,Andy Lamb & Donna Gibbs,PMLS,2015-05-16,Peter Luckham,,,http://www.inaturalist.org/observations/2854943,https://static.inaturalist.org/photos/3257098/medium.jpg?1459383774,,,golden dirona
Diaulula lentiginosa,513834,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Diaulula,Diaulula lentiginosa,Diaulula lentiginosa,unlisted,unlisted,reported,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,freckled pale sea lemon
Diaulula odonoghuei,508237,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Diaulula,Diaulula odonoghuei,Diaulula odonoghuei,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2016-05-25,Chessi Miltner,,,http://www.inaturalist.org/observations/3684490,https://static.inaturalist.org/photos/4272167/medium.jpg?1468629479,,,spotted leopard dorid
Geitodoris heathi,47505,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Geitodoris,Geitodoris heathi,Geitodoris heathi,unlisted,unlisted,reported,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Heath's dorid
Peltodoris nobilis,48450,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,Peltodoris,Peltodoris nobilis,Peltodoris nobilis,unlisted,unlisted,new 2016,,,,2016-02-18,Peter Luckham,,,http://www.inaturalist.org/observations/2755459,https://static.inaturalist.org/photos/3116293/medium.jpg?1457384578,,,sea lemon
Doris montereyensis,47469,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,Doris montereyensis,Doris montereyensis,unlisted,unlisted,confirmed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763446,https://static.inaturalist.org/photos/3127714/medium.jpg?1457577901,,,Monterey sea lemon
Doris nobilis,808104,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,Doris nobilis,Doris nobilis,unlisted,unlisted,reported,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,noble sea lemon
