id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
53352,49155,Alnus,alders,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/111091510/medium.jpg
53373,49155,Corylus,hazels,genus,https://static.inaturalist.org/photos/138077371/medium.jpeg
53453,47567,Salix,Willows,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/79451981/medium.jpeg
53854,53855,Ilex,hollies,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/84984390/medium.jpg
54262,47562,Abies,firs,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/108627343/medium.jpeg
54774,781703,Viburnum,viburnums,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/1089094/medium.JPG
55209,47555,Taxus brevifolia,Pacific yew,species,https://inaturalist-open-data.s3.amazonaws.com/photos/99338130/medium.jpeg
55796,52642,Luzula,woodrushes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/9663/medium.jpg
55883,52849,Hedera,ivies,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/63122305/medium.jpg
57624,50361,Elodea,waterweeds,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/57234967/medium.jpeg
57849,51121,Nuphar,yellow pond-lilies,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/31258607/medium.jpeg
57861,57860,Utricularia,Bladderworts,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/158883179/medium.jpg
58937,58935,Lythrum,Lythrum Loosestrifes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/41847224/medium.jpeg
58971,48932,Leptosiphon,,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/12291/medium.jpg
59110,59109,Potamogeton,Pondweeds,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/30550982/medium.jpg
60207,60205,Myriophyllum,Milfoils,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/265825659/medium.jpeg
60270,60266,Triglochin,Arrowgrasses,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/59035806/medium.jpeg
60999,60998,Ceratophyllum,Hornworts,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/80184/medium.jpg
61117,48694,Sparganium,bur-reeds,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/15187/medium.jpg
61215,48932,Microsteris,,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/117136991/medium.jpeg
61316,50313,Daphne,Daphnes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/55518212/medium.jpg
62370,62369,Nymphoides,,genus,https://static.inaturalist.org/photos/82244249/medium.jpg
63573,47562,Picea,spruces,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/10967638/medium.jpeg
63875,58771,Selaginella wallacei,Wallace's spikemoss,species,https://inaturalist-open-data.s3.amazonaws.com/photos/57806759/medium.jpg
63963,47539,Paxistima,Mountain-Lovers,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/48990/medium.jpg
64662,47754,Aspleniaceae,spleenwort family,family,https://static.inaturalist.org/photos/92877566/medium.jpeg
69819,47733,Ligustrum,privets,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/126520804/medium.jpeg
72235,62369,Menyanthes,,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/32429061/medium.jpg
72359,64695,Shepherdia,Buffaloberries,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/82156678/medium.jpeg
319976,64552,Erythranthe,monkeyflowers,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/72061328/medium.jpeg
332916,47754,Cystopteridaceae,,family,https://static.inaturalist.org/photos/45118360/medium.jpg
332930,47754,Athyriaceae,Ladyferns and allies,family,https://inaturalist-open-data.s3.amazonaws.com/photos/506259/medium.jpg
564913,47790,Chamaenerion,fireweeds,genus,https://static.inaturalist.org/photos/10363945/medium.jpg
47179,133387,Arctostaphylos,bearberries and manzanitas,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/22868101/medium.jpeg
47324,50638,Collinsia,Blue-eyed Marys,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/3543523/medium.JPG
48063,48064,Lysimachia,Loosestrifes,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/17942996/medium.jpeg
48245,48231,Aquilegia,columbines,genus,https://inaturalist-open-data.s3.amazonaws.com/photos/245963537/medium.jpg
48252,48253,Thuja plicata,western redcedar,species,https://inaturalist-open-data.s3.amazonaws.com/photos/7846522/medium.jpeg
