Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code
Plicatura nivea,(Fr.) P. Karst.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Amylocorticiaceae,,,no status,new 2018,Documented,,,,,2018-11-04,judithofsquamish,https://www.inaturalist.org/observations/18135928,https://static.inaturalist.org/photos/27723125/medium.jpeg?1541438390,,464306,
Pluteus cervinus,(Schaffer:Fr.) P. Kumm.,deer mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Pluteaceae,,,no status,new 2018,Documented,,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16857626,https://static.inaturalist.org/photos/25458028/medium.jpg?1537754243,,60782,
Pluteus exilis,Singer,western deer mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Pluteaceae,,,not in CDC records,new 2018,Documented,,,,,2018-10-16,chrisob,https://www.inaturalist.org/observations/17593542,https://static.inaturalist.org/photos/26788081/medium.jpg?1539789092,,351891,
Polycauliona polycarpa,"(Hoffm.) Frödén, Arup, & Søchting",pin-cushion sunburst lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Teloschistales,,,Teloschistaceae,,,not in CDC records,new 2019,Documented,,,,,2019-03-10,benkeen,https://www.inaturalist.org/observations/21131781,https://static.inaturalist.org/photos/32663232/medium.jpg?1552266426,,463837,
Porpidia crustulata,(Ach.) Hertel & Knoph,concentric boulder lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecideales,,,Lecideaceae,,,not in CDC records,new 2018,Documented,,,,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18013024,https://static.inaturalist.org/photos/27537972/medium.jpeg?1541097878,,182467,
Postia caesia,(Schrad.) P. Karsten ,blue cheese polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,no status,new 2019,Documented,,,,,2019-10-05,benkeen,https://www.inaturalist.org/observations/33919614,https://static.inaturalist.org/photos/53325812/medium.jpeg?1570315377,,118069,
Psathyrella sp.,(Fr.) Quél.,brittlestems,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,genus is in CDC records,new 2018,Documented,,,,,2018-10-10,judithofsquamish,https://www.inaturalist.org/observations/18031191,https://static.inaturalist.org/photos/27568130/medium.jpeg?1541170009,,67745,
Pseudohydnum gelatinosum,(Scop.) P. Karst.,toothed jelly fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Auriculariales,,,unknown,,,no status,new 2018,Documented,,,,,2018-12-26,benkeen,https://www.inaturalist.org/observations/19238685,https://static.inaturalist.org/photos/29557141/medium.jpg?1545866410,,54164,
Ramalina farinacea,(L.) Ach.,farinose cartilage lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Ramalinaceae,,Native,S5 (2018),new 2018,Documented,,,,,2018-11-10,benkeen,https://www.inaturalist.org/observations/18315455,https://static.inaturalist.org/photos/27985196/medium.jpg?1541891141,,54758,
Ramaria formosa,(Pers.) Quél.,yellow-tipped coral fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Gomphales,,,Gomphaceae,,,no status,new 2019,Documented,,,,,2019-08-24,kmfret,https://www.inaturalist.org/observations/31701335,https://static.inaturalist.org/photos/49638613/medium.jpeg?1567035442,,48770,
Ramaria stricta,(Pers.) Quél.,upright coral fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Gomphales,,,Gomphaceae,,,no status,new 2013,Documented,,,,,2013-10-14,hillanddale,https://www.inaturalist.org/observations/9532830,https://static.inaturalist.org/photos/13000670/medium.jpg?1516405738,,54228,
Rhizocarpon geographicum,(L.) DC.,yellow map lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Rhizocarpales,,,Rhizocarpaceae,,,not in CDC records,new 2018,Documented,,,,,2018-10-19,derekkillby,https://www.inaturalist.org/observations/17661329,https://static.inaturalist.org/photos/26910803/medium.jpg?1539991461,,119888,
Rhodofomes cajanderi,"(Karst.) B.K. Cui, M.L. Han & Y.C. Dai",rosy conk,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,no status,new 2019,Documented,,,,,2019-09-22,benkeen,https://www.inaturalist.org/observations/33235019,https://static.inaturalist.org/photos/52183509/medium.jpeg?1569202602,,764105,
Rhytisma punctatum,(Pers.) Fr.,speckled tar spot,Fungi,Ascomycota,,,Leotiomycetes,,,Rhytismatales,,,Rhytismataceae,,,no status,new 2017,Documented,,,,,2017-11-16,judithofsquamish,https://www.inaturalist.org/observations/8870087,https://static.inaturalist.org/photos/11926471/medium.jpeg?1511152260,,333838,
Rickenella fibula,(Bull.) Raithelh.,orange moss agaric,Fungi,Basidiomycota,,,Agaricomycetes,,,Hymenochaetales,,,Rickenellaceae,,,no status,new 2018,Documented,,,,,2018-12-15,benkeen,https://www.inaturalist.org/observations/19035624,https://static.inaturalist.org/photos/29196371/medium.jpg?1544910187,,118170,
Russula albonigra,(Kromb.) Fr.,blackening russula,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Russulaceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17732069,https://static.inaturalist.org/photos/27039023/medium.jpg?1540175406,,202417,
Russula brevipes,Peck,short-stemmed russula,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Russulaceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17731851,https://static.inaturalist.org/photos/27038484/medium.jpg?1540174887,,118179,
Russula rosacea,Pers.,blood red russula,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Russulaceae,,,not in CDC records,new 2018,Documented,,,,,2018-12-01,benkeen,https://www.inaturalist.org/observations/18763396,https://static.inaturalist.org/photos/28734143/medium.jpg?1543702301,,154869,
Russula xerampelina,(Schaeff.) Fr.,shellfish-scented russula,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Russulaceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17723949,https://static.inaturalist.org/photos/27023287/medium.jpg?1540160627,,154875,
Sarcodon imbricatus,(L.) P. Karst.,shingled hedgehog,Fungi,Basidiomycota,,,Agaricomycetes,,,Thelephorales,,,Bankeraceae,,,no status,new 2018,Documented,,,,,2018-11-07,judithofsquamish,https://www.inaturalist.org/observations/18263101,https://static.inaturalist.org/photos/27899308/medium.jpeg?1541695517,,122335,
Sarcomyxa serotina,(Pers.) P. Karst.,late oyster,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hygrophoraceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-08,judithofsquamish,https://www.inaturalist.org/observations/18277964,https://static.inaturalist.org/photos/27923351/medium.jpeg?1541738422,,63585,
Schizophyllum commune,Fries,splitgill mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Schizophyllineae,,Schizophyllaceae,,,no status,new 2018,Documented,,,,,2018-11-17,benkeen,https://www.inaturalist.org/observations/18460482,https://static.inaturalist.org/photos/28225946/medium.jpg?1542499696,,54573,
Scytinotus longinquus,(Berk.) Thorn.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pleurotineae,,Pleurotaceae,,,no status,new 2018,Documented,,,,,2018-12-23,benkeen,https://www.inaturalist.org/observations/19181482,https://static.inaturalist.org/photos/29459959/medium.jpg?1545605803,,498511,
Solorina crocea,(L.) Ach.,chocolate chip lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Peltigeraceae,,Native,S5 (2018),new 2013,Documented,,,,,2013-09-08,judithofsquamish,https://www.inaturalist.org/observations/6157588,https://static.inaturalist.org/photos/7720219/medium.jpeg?1494388416,,231135,
Sparassis radicata,(Wulf.) Fr.,western cauliflower mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Sparassidaceae,,,not in CDC records,new 2017,Documented,,,,,2017-09-30,rainwalker,https://www.inaturalist.org/observations/8197209,https://static.inaturalist.org/photos/10857558/medium.jpg?1506824114,,486226,
Sphaerophorus tuckermanii,Räsänen,Tuckerman's coral lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Sphaerophoraceae,,Native,S4S5 (2018),new 2018,Documented,,,,,2018-07-08,iamscientistsam,https://www.inaturalist.org/observations/14191270,https://static.inaturalist.org/photos/21045371/medium.jpg?1531109211,,123231,
Stereum hirsutum,(Willd.) Pers.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Stereaceae,,,no status,new 2018,Documented,,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16857773,https://static.inaturalist.org/photos/25458186/medium.jpg?1537754387,,55501,
Stereum ochraceoflavum,(Schwein.) Sacc.,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Stereaceae,,,no status,new 2018,Documented,,,,,2018-12-26,benkeen,https://www.inaturalist.org/observations/19238818,https://static.inaturalist.org/photos/29557414/medium.jpg?1545866965,,118107,
Stereum ostrea,Blume & T. Nees ex Fr.,false turkey-tail,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Stereaceae,,,no status,new 2018,Documented,,,,,2018-09-11,benkeen,https://www.inaturalist.org/observations/16443836,https://static.inaturalist.org/photos/24743524/medium.jpg?1536725357,,55496,
Strobilurus trullisatus,(Murrill) Lennox,fir-cone mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Marasmiineae,,Physalacriaceae,,,no status,new 2018,Documented,,,,,2018-09-16,benkeen,https://www.inaturalist.org/observations/16607548,https://static.inaturalist.org/photos/25023710/medium.jpg?1537138474,,118192,
Stropharia ambigua,(Peck) Zeller,questionable stropharia,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2018,Documented,,,,,2018-08-18,citizen1,https://www.inaturalist.org/observations/15737693,https://static.inaturalist.org/photos/23499603/medium.jpg?1534804987,,53284,
Suillus caerulescens,Smith & Thiers,fat jack,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Suillaceae,,,no status,new 2019,Documented,,,,,2019-09-08,benkeen,https://www.inaturalist.org/observations/32379955,https://static.inaturalist.org/photos/50778570/medium.jpeg?1567985257,,63505,
Suillus granulatus,(L.) Roussel,dotted-stalked suillus,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Suillaceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17731542,https://static.inaturalist.org/photos/27037834/medium.jpg?1540174113,,179065,
Suillus lakei,(Murrill) A.H. Sm. & Thiers,western painted suillus,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Suillaceae,,,no status,new 2018,Documented,,,,,2018-11-20,judithofsquamish,https://www.inaturalist.org/observations/18794500,https://static.inaturalist.org/photos/28787431/medium.jpeg?1543812804,,118159,
Tapinella atrotomentosa,(Batsch) Šutara,velvet-footed pax,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Tapinellaceae,,,no status,new 2019,Documented,,,,,2019-07-25,benkeen,https://www.inaturalist.org/observations/29553029,https://static.inaturalist.org/photos/46128423/medium.jpeg?1564109679,,154450,
Thelephora terrestris,Ehrh.,common fiber vase,Fungi,Basidiomycota,,,Agaricomycetes,,,Thelephorales,,,Thelephoraceae,,,no status,new 2019,Documented,,,,,2019-11-01,gwenlh,https://www.inaturalist.org/observations/36335226,https://static.inaturalist.org/photos/57425645/medium.jpeg?1575424086,,118102,
Thelotrema lepadinum,(Ach.) Ach.,bark barnacles,Fungi,Ascomycota,,,Lecanoromycetes,,,Ostropales,,,Graphidaceae,,,not in CDC records,new 2018,Documented,,,,,2018-10-09,judithofsquamish,https://www.inaturalist.org/observations/18013155,https://static.inaturalist.org/photos/27538110/medium.jpeg?1541098082,,129667,
Trametes cinnabarina,(Jacq.) Fr.,northern cinnabar polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,not in CDC records,new 2019,Documented,,,,,2019-12-06,benkeen,https://www.inaturalist.org/observations/36420691,https://static.inaturalist.org/photos/57570575/medium.jpeg?1575680153,,974663,
Trametes versicolor,(L.) Lloyd,turkey-tail,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2017,Documented,,,,,2017-09-19,rainwalker,https://www.inaturalist.org/observations/8019808,https://static.inaturalist.org/photos/10616058/medium.jpg?1505964083,,54134,
Tremella aurantia,Schwein.,golden ear,Fungi,Basidiomycota,,,Tremellomycetes,,,Tremellales,,,Tremellaceae,,,no status,new 2018,Documented,,,,,2018-11-06,judithofsquamish,https://www.inaturalist.org/observations/18193111,https://static.inaturalist.org/photos/27805331/medium.jpeg?1541567538,,67584,
Tremella mesenterica,Retz.,witch's butter,Fungi,Basidiomycota,,,Tremellomycetes,,,Tremellales,,,Tremellaceae,,,no status,new 2018,Documented,,,,,2018-03-30,derekkillby,https://www.inaturalist.org/observations/13792738,https://static.inaturalist.org/photos/20342133/medium.jpg?1529984920,,48529,
Trichaptum biforme,(Fr.) Ryvarden,violet-toothed polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2018,Documented,,,,,2018-11-05,judithofsquamish,https://www.inaturalist.org/observations/18172780,https://static.inaturalist.org/photos/27776226/medium.jpeg?1541524406,,125705,
Trichoderma viride,Pers.,none,Fungi,Ascomycota,,,Sordariomycetes,,,Hypocreales,,,Hypocreaceae,,,no status,new 2019,Documented,,,,,2019-12-07,benkeen,https://www.inaturalist.org/observations/36446873,https://static.inaturalist.org/photos/57612140/medium.jpeg?1575754882,,352599,
Tricholoma zelleri,(D.E.Stuntz. & A.H. Sm.) Overbo. & Tylutki,fetid armillaria,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17731722,https://static.inaturalist.org/photos/27038198/medium.jpg?1540174517,,352611,
Turbinellus floccosus,(Schwein.) Earle ex Giachini & Castelleno,scaly chanterelle,Fungi,Basidiomycota,,,Agaricomycetes,,,Gomphales,,,Gomphaceae,,,no status,new 2019,Documented,,,,,2019-09-08,benkeen,https://www.inaturalist.org/observations/32380350,https://static.inaturalist.org/photos/50779398/medium.jpeg?1567985658,,417398,
Tyromyces chioneus,(Fr.) P. Karst,white cheese polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2018,Documented,,,,,2018-12-26,benkeen,https://www.inaturalist.org/observations/19238767,https://static.inaturalist.org/photos/29557324/medium.jpg?1545866762,,130946,
Umbilicaria sp.,Hoffm.,rock tripes,Fungi,Ascomycota,,,Lecanoromycetes,,,Umbilicariales,,,Umbilicariaceae,,,species is in CDC records,new 2019,Documented,,,,,2019-05-25,judithofsquamish,https://www.inaturalist.org/observations/26155383,https://static.inaturalist.org/photos/40586987/medium.jpeg?1559359780,,59968,
Usnea glabrescens,(Nyl. ex Vain.) Vain.,spotted beard lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S4 (2018),new 2018,Documented,,,,,2018-09-24,keeganjd,https://www.inaturalist.org/observations/16875386,https://static.inaturalist.org/photos/25488537/medium.jpg?1537810568,,233313,
Usnea longissima,Ach.,old man's beard,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2019) ,new 2018,Documented,,,,,2018-07-08,judithofsquamish,https://www.inaturalist.org/observations/14218963,https://static.inaturalist.org/photos/21094236/medium.jpeg?1531190013,,122681,
Xanthoparmelia cumberlandia,(Gyelnik) Hale,Cumberland rock shield,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Unknown,SU (2019) ,new 2018,Documented,,,,,2018-12-07,benkeen,https://www.inaturalist.org/observations/18883904,https://static.inaturalist.org/photos/28937028/medium.jpg?1544218027,,123230,
Xerocomellus zelleri,(MurrillI) Klofak,Zeller's bolete,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Boletaceae,,,no status,new 2019,Documented,,,,,2019-10-19,benkeen,https://www.inaturalist.org/observations/34604941,https://static.inaturalist.org/photos/54477046/medium.jpeg?1571519926,,438008,
Xeromphalina campanella,(Batsch.) Kuhner & Maire,pinewood gingertail,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Typhulaceae,,,not in CDC records,new 2019,Documented,,,,,2019-10-05,benkeen,https://www.inaturalist.org/observations/33917050,https://static.inaturalist.org/photos/53321392/medium.jpeg?1570312526,,56251,
Xylaria hypoxylon,(L.) Grev.,candlesnuff fungus,Fungi,Ascomycota,,,Sordariomycetes,,,Xylariales,,,Xylariaceae,,,no status,new 2014,Documented,,,,,2014-11-09,judithofsquamish,https://www.inaturalist.org/observations/5972207,https://static.inaturalist.org/photos/7463830/medium.jpeg?1493240373,,55267,
Xylaria polymorpha,(Pers.) Grev.,dead man's fingers,Fungi,Ascomycota,,,Sordariomycetes,,,Xylariales,,,Xylariaceae,,,no status,new 2019,Documented,,,,,2019-10-05,judithofsquamish,https://www.inaturalist.org/observations/33930970,https://static.inaturalist.org/photos/53346184/medium.jpeg?1570331052,,58698,
Arcyria denudata,Fr.,carnival candy slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,not in CDC records,new 2019,Documented,,,,,2019-10-05,benkeen,https://www.inaturalist.org/observations/33917107,https://static.inaturalist.org/photos/53321476/medium.jpeg?1570312569,,56262,
Arcyria stipata,(Schwein.) A. Lister,none,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,not in CDC records,new 2019,Documented,,,,,2019-10-12,benkeen,https://www.inaturalist.org/observations/34273553,https://static.inaturalist.org/photos/53918757/medium.jpeg?1570919677,,565889,
Arcyria denudata,(L.) Wettst,carnival candy slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Arcyriaceae,,,not in CDC records,new 2019,Documented,,,,,2019-10-05,benkeen,https://www.inaturalist.org/observations/33917107,https://static.inaturalist.org/photos/53321476/medium.jpeg?1570312569,,56262,
Badhamia utricularis,(Bull.) Berk.,none,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,not in CDC records,new 2018,Documented,,,,,2018-12-19,judithofsquamish,https://www.inaturalist.org/observations/19166815,https://static.inaturalist.org/photos/29433065/medium.jpeg?1545541119,,56264,
Brefeldia maxima,(Fries) Rostaf.,tapioca slime mold,Protozoa,Mycetozoa,,,Myxomycetes,,,Stemonitales,,,Stemonitidaceae,,,not in CDC records,new 2019,Documented,,,,,2019-08-25,kmfret,https://www.inaturalist.org/observations/32185362,https://static.inaturalist.org/photos/50445419/medium.jpeg?1567713860,,244531,
Ceratiomyxa fruticulosa,J. Schrot,honeycomb coral slime mold,Protozoa,Mycetozoa,,,Protosteliomycetes,,,Ceratiomyxales,,,Ceratiomyxaceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-04,judithofsquamish,https://www.inaturalist.org/observations/18132360,https://static.inaturalist.org/photos/27720742/medium.jpeg?1541434720,,56252,
Fuligo septica,(L.) F.H. Wigg,dog vomit slime mould,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Physaraceae,,,not in CDC records,new 2018,Documented,,,,,2018-06-27,carl1986,https://www.inaturalist.org/observations/13860105,https://static.inaturalist.org/photos/20458350/medium.jpg?1530199433,,55483,
Lycogala epidendrum,(L.) Fr.,wolf's milk,Protozoa,Mycetozoa,,,Myxomycetes,,,Liceales,,,Tubiferaceae,,,not in CDC records,new 2017,Documented,,,,,2017-05-07,edefreit,https://www.inaturalist.org/observations/6132820,https://static.inaturalist.org/photos/7681698/medium.jpeg?1494203386,,47680,
Mucilago crustacea,P. Micheli ex F.H. Wigg,dog sick slime mould,Protozoa,Mycetozoa,,,Myxomycetes,,,Physarales,,,Didymiaceae,,,not in CDC records,new 2019,Documented,,,,,2019-04-14,benkeen,https://www.inaturalist.org/observations/22489593,https://static.inaturalist.org/photos/34839401/medium.jpg?1555283424,,63041,
Stemonitis sp.,Gled.,chocolate tube slimes,Protozoa,Mycetozoa,,,Myxomycetes,,,Stemonitales,,,Stemonitidaceae,,,not in CDC records,new 2017,Documented,,,,,2017-06-24,judithofsquamish,https://www.inaturalist.org/observations/18971239,https://static.inaturalist.org/photos/29085528/medium.jpeg?1544576602,,53841,
Trichia decipiens,(Pers.) T. MacBr.,none,Protozoa,Mycetozoa,,,Myxomycetes,,,Trichiales,,,Trichiaceae,,,not in CDC records,new 2019,Documented,,,,,2019-11-11,benkeen,https://www.inaturalist.org/observations/35584882,https://static.inaturalist.org/photos/56126311/medium.jpeg?1573508445,,56275,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
