Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Madia gracilis,(Sm.) D.D. Keck,grassy tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2019),new 2015,documented,,,,,,42161,steveansell,https://www.inaturalist.org/observations/66764476,iNat: needs i.d.,53135
Madia sativa,Molina,coast tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2020,documented,,,,,,44187,benkeen,https://www.inaturalist.org/observations/66935852, ,53143
Matricaria discoidea,DC.,pineapple-weed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43297,judithofsquamish,https://www.inaturalist.org/observations/14469550, ,52992
Menyanthes trifoliata,L.,bogbean,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Menyanthaceae,,native,S5 (2000),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42148,judithofsquamish,https://www.inaturalist.org/observations/6017963, ,78016
Mycelis muralis,(L.) Dumort.,wall lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2006),confirmed,documented,27212,Charles E. Beil,UBC,UBC: V176162,,42448,judithofsquamish,http://www.inaturalist.org/observations/4395516,,48543
Nabalus alatus ,Hook.,western rattlesnake root,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,native,S5 (2019),reported,undocumented,5296,A. E. Baggs ,UBC,UBC: V47169,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Grouse Mt. Eagle Cr; Prenanthes alata,130955
Nephrophyllidium crista-galli,(Menzies ex Hook.) Gilg ,deer-cabbage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Menyanthaceae,,native,S5 (2000),confirmed,documented,35624,Gerald B. Straley ,UBC,UBC: V226170,"LGL Limited, Environmental Research Associates, Sidney, BC",43251,derekkillby,https://www.inaturalist.org/observations/13002587,historical record Fauria crista-galli,340457
Packera pauciflora ,(Pursh) Á. Löve & D. Löve,alpine groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2000),reported,undocumented,39944,Bruce Fraser,UBC,UBC: V158333,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Warren Gl foreland,78327
Petasites frigidus,(L.) Fr.,arctic butterbur,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2000) ,confirmed,documented,26903,Vladimir J. Krajina,UBC,UBC: V151755,,42918,judithofsquamish,https://www.inaturalist.org/observations/7270830,,55780
Petasites frigidus var. nivalis,(Greene) Cronquist,sweet coltsfoot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Authorities are not in agreement about the varieties of Petasites frigidus,713494
Petasites frigidus var. palmatus,(L.) Fr. (Aiton) Cronquist,western sweet coltsfoot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2000) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42827,hillanddale,https://www.inaturalist.org/observations/9532599,Authorities are not in agreement about the varieties of Petasites frigidus,55778
Petasites japonicus,(Siebold & Zucc.) Maxim.,giant butterbur,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2020,documented,,,,,,43931,smcd,https://www.inaturalist.org/observations/41859722,,129038
Pilosella aurantiaca,(L.) F.W. Schultz & Sch. Bip.,orange hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001),new 2014,documented,,,,,,41806,hillanddale,https://www.inaturalist.org/observations/9528590,,711103
Pilosella caespitosa,(Dumort) P.D.Sell & C.West,meadow hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001) ,new 2018,documented,,,,,,43330,citizen1,https://www.inaturalist.org/observations/15732953,,711086
Pilosella piloselloides,Vill.,smooth hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2019),new 2016,documented,,,,,,42498,hillanddale,https://www.inaturalist.org/observations/9531087,,320888
Pilosella tristis,(Willd. ex Spreng.) F.W.Schultz & Sch.Bip.,alpine hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44059,judithofsquamish,https://www.inaturalist.org/observations/56907764,historical record Hieracium triste,780652
Pseudognaphalium thermale,(E. E. Nelson) G. L. Nesom ,small headed cudweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S4S5 (2015),confirmed,documented,23225,Katherine I. Beamish,UBC,UBC: V103772,"LGL Limited, Environmental Research Associates, Sidney, BC",43359,benkeen,https://www.inaturalist.org/observations/16605379, ,78765
Rudbeckia hirta,L.,black-eyed susan,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2019,documented,,,,,,43695,benkeen,https://www.inaturalist.org/observations/31071283,,62741
Scorzoneroides autumnalis,(L.) Moench.,autumn hawkbit,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2019),new 2020,documented,,,,,,43995,andrewcarricato,https://www.inaturalist.org/observations/49478532,,204167
Senecio fremontii var. fremontii,Torr. & A. Gray,fremont's ragwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S4 (2015) ,reported,undocumented,27651,D. Sheffield ,UBC,UBC: V148060,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Diamond Head,81364
Senecio sylvaticus, L.,heath groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),confirmed,documented,27212,Charles E. Beil ,UBC,UBC: V176157,,44034,benkeen,https://www.inaturalist.org/observations/54019501,UBC:  Bowen Island Plot #31,53210
Senecio triangularis,Hooker,arrowleaf senecio,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2015) ,confirmed,documented,23952,Bruce Fraser ,UBC,UBC: V158301,"LGL Limited, Environmental Research Associates, Sidney, BC",42946,judithofsquamish,https://www.inaturalist.org/observations/7361678,,79055
Senecio viscosus,L.,sticky groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),new 2018,documented,,,,,,43333,judithofsquamish,https://www.inaturalist.org/observations/15865270,,126892
Senecio vulgaris,L.,common groundsel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),new 2014,documented,,,,,,43914,gwenlh,https://www.inaturalist.org/observations/69094693,,53211
Solidago canadensis,L.,canada goldenrod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2017,documented,,,,,,39291,hillanddale,https://www.inaturalist.org/observations/9630330,,67808
Solidago elongata,Nutt.,west coast goldenrod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,79150
Solidago lepida,DC.,Elegant Goldenrod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2000),new 2021,documented,,,,,,44413,pumakit,https://www.inaturalist.org/observations/90141665,,79152
Solidago multiradiata,Aiton,northern goldenrod,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44091,hkblair,https://www.inaturalist.org/observations/59891067, ,79153
Sonchus arvensis,L.,perennial sow thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2000),new 2015,documented,,,,,,42175,judithofsquamish,http://www.inaturalist.org/observations/4485886,,79156
Sonchus asper,(L.) Hill.,prickly sowthistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001) ,new 2018,documented,,,,,,43367,keeganjd,https://www.inaturalist.org/observations/16893484,,53269
Sonchus oleraceus,,Common Sow-thistle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2019),new 2021,documented,,,,,,44410,benkeen,https://www.inaturalist.org/observations/89705998,,53294
Symphyotrichum chilense,(Nees) G.L. Nesom,pacific aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2019),new 2018,documented,,,,,,43393,kebrauckmann,https://www.inaturalist.org/observations/39213740,"iNat: needs i.d. S. chilense, S. subspicatum, S. eatonii and now S. novi-belgii are names suggested for what look similar to species in the Squamish Estuary ",56861
Symphyotrichum ciliolatum,(Lindl.) A.Löve & D. Löve,lindley's aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,169455
Symphyotrichum foliaceum var foliaceum,(Lindl. ex DC.) G.L. Nesom,Leafy-bracted Aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S4S5 (2008),new 2020,documented,,,,,,44037,judithofsquamish,https://www.inaturalist.org/observations/55209598,iNat: needs i.d.,243151
Symphyotrichum novi-belgii,G.L. Nesom,new york aster,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2020,documented,,,,,,44088,judithofsquamish,https://www.inaturalist.org/observations/60135277,"iNat: needs i.d.  Taxonomy in flux: see Jamie Fenneman's thesis, https://open.library.ubc.ca/cIRcle/collections/ubctheses/24/items/1.0378325",169474
Tanacetum parthenium,(L.) Sch. Bip.,feverfew,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2019,documented,,,,,,43732,benkeen,https://www.inaturalist.org/observations/33354623,,54520
Tanacetum vulgare,L.,tansy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2019),new 2016,documented,,,,,,42945,gwenlh,https://www.inaturalist.org/observations/44649671,,55971
Taraxacum alaskanum ,Rydb.,none,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,native,S5 (2012),reported,undocumented,1913-08-00,John Davidson,UBC,UBC: V44985,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Mt. Garibaldi,556104
Tragopogon dubius,Scop.,Yellow Salsify,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2019),new 2021,documented,,,,,,44416,roslynmohr,https://www.inaturalist.org/observations/90454169,,54143
Taraxacum erythrospermum ,Andrz. ex Besser,red-seeded dandelion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001) ,reported,undocumented,23930,B. Fraser,UBC,UBC: V158307,,,,,UBC:  Garibaldi PP Sentinel Gl foreland,79317
Taraxacum officinale,F.H. Wigg,common dandelion,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001) ,confirmed,documented,24317,B. Fraser ,UBC,UBC: V158266,,43632,hydaticus,https://www.inaturalist.org/observations/27308228,"also see: https://www.nrcresearchpress.com/doi/full/10.1139/cjb-2018-0094#.XMtI6jBKjIV
https://www.nrcresearchpress.com/doi/full/10.1139/cjb-2018-0094#.XMtI6jBKjIV",47602
Tonestus lyallii,(A. Gray) A. Nelson,lyall's tonestus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,S5 (2000),reported,undocumented,24706,V. Bednar ,UBC,UBC: V158352,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Sphinx Gl foreland,79371
Tripleurospermum inodorum,,scentless mayweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,native,SNA (2019),new 2021,documented,,,,,,44420,benkeen,https://www.inaturalist.org/observations/90962329,,79441
Echium vulgare,L.,common viper's bugloss,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,exotic,SNA (2001) ,new 2013,documented,,,,,,41438,hillanddale,https://www.inaturalist.org/observations/9526017,,56174
Lappula occidentalis,(Hooker) Abrams,bog bird's-foot lotus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,native,S5 (2000),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,148438
Myosotis arvensis,(L.) Hill,field forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,exotic,SNA (2001),confirmed,documented,27942,Murray Clark ,UBC,UBC: V161945,,43611,citizen1,https://www.inaturalist.org/observations/26126226,,51726
Myosotis discolor,Pers.,Changing Forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,native,SNA (2019),new 2021,documented,,,,,,44339,benkeen,https://www.inaturalist.org/observations/79996902,,70265
Myosotis laxa,Lehm.,bay forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,native,S5 (2015),reported,undocumented,1977-00-00,Kelowna Resource Analysis Branch,RBCM,V111299,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,RBCM:  Bowen Bay Bog,78150
Myosotis scorpioides,L.,water forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,exotic,SNA (2019),new 2021,documented,,,,,,44409,cigodwin,https://www.inaturalist.org/observations/89604376,,49130
Myosotis sylvatica,Ehrh.,wood forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,exotic,SNA (2019),new 2019,documented,,,,,,43562,benkeen,https://www.inaturalist.org/observations/22164476,,55826
Nemophila menziesii,Hook. & Arn.,menzies' baby blue eyes,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,exotic,not in CDC records,new 2018,documented,,,,,,43267,the_rainbow_bee,https://www.inaturalist.org/observations/13508690,,50648
Nemophila parviflora,Douglas ex Benth,small-flowered nemophila,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,native,S5 (2000),confirmed,documented,5964,W. Taylor,UBC,UBC: V21347,,43966,benkeen,https://www.inaturalist.org/observations/46036722,,57353
Phacelia hastata hastata ,Douglas ex Lehm.,silverleaf phacelia/scorpionweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,native,S5 (2000) ,reported,undocumented,11563,C.F. Connor ,UBC,UBC: V21366,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Squamish P. leucophylla,80115
Phacelia sericea,(grah.) a. gray,silky phacelia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,78524
Phacelia sericea sericea,(Graham) A. Gray,silky phacelia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,native,"in progress, see 'notes'",reported,undocumented,4965,John Davidson ,UBC,UBC: V62621,,,,,UBC: Garibaldi PP Panorama Ridge,237781
Pulmonaria officinalis,L.,lungworts,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,,not in CDC records as genus,new 2017,documented,,,,,,42845,hillanddale,https://www.inaturalist.org/observations/9604722,iNat: needs i.d.,125137
Romanzoffia sitchensis ,Bong.,sitka mistmaiden,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,native,S5 (2015),reported,undocumented,5271,Miss Fowler,UBC,UBC: V45225,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC:  Howe Sound, the Lions",78872
Symphytum officinale,L.,common comfrey,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,exotic,SNA (2001),new 2017,documented,,,,,,43632,hydaticus,https://www.inaturalist.org/observations/27188914,,55724
Arabidopsis lyrata kamchatica ,(Fisch. ex DC.) K. Shimizu & Kudoh,lyreleaf rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S4 (2001,reported,undocumented,5331,John Davidson ,UBC,UBC: V12369,,,,,UBC: Arabidopsis kamchatica ,333497
Arabidopsis thaliana,(L.) Heynh.,mouse-ear cress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2019,documented,,,,,,43557,benkeen,https://www.inaturalist.org/observations/21930810,,55021
Arabis eschscholtziana  ,Andrz.,Eschscholtz's rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,75494
Barbarea orthoceras,Ledeb.,american yellowrocket,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2015),confirmed,documented,38112,T. Taylor ,report,,"LGL Limited, Environmental Research Associates, Sidney, BC",42485,judithofsquamish,https://www.inaturalist.org/observations/9971751, ,52976
Barbarea verna ,(P. Mill.) Asch.,early wintercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),reported,undocumented,15849,,RBCM,V016333,,,,,RBCM:  West Vancouver,71136
Barbarea vulgaris ,W.T. Aiton,bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Brassicales,,,Brassicaceae,,exotic,SNA (2001),reported,undocumented,24633,P. Warrington ,LEA,,,,,,,56126
Boechera calderi ,(G. A. Mulligan) Windham & Al-Shehbaz,calder's suncress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Brassicales,,,Brassicaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,75780
Barbarea vulgaris,W.T. Aiton,bitter wintercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2020,documented,,,,,,43958,judithofsquamish,https://www.inaturalist.org/observations/45239803,,56126
Boechera lyallii ,(S. Watson) Dorn,lyall's rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Brassicales,,,Brassicaceae,,native,S5 (2015),reported ,undocumented,9778,G. A. Hardy ,RBCM,V: V008032,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,RBCM:  Garibaldi PP Panorama Ridge,75799
Boechera stricta ,(Graham) Al-Shehbaz,drummond's rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Brassicales,,,Brassicaceae,,native,S5 (2015) ,reported,undocumented,24701,V. Bednar ,UBC,UBC: V158312,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,75824
Brassica napus rapifera ,L.,turnip,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001),reported,undocumented,42368,Frank Lomer,UBC,UBC: V247101,,,,,,450737
Brassica oleracea,L.,cabbage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA,reported,undocumented,42090,Frank Lomer,UBC,UBC: V246473,,,,,,54516
Brassica rapa,L.,field mustard,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001)  ,confirmed,documented,33376,G. B. Straley,UBC,s.n.,,43557,benkeen,https://www.inaturalist.org/observations/21930513,,53271
Cakile edentula,Bigelow) Hook.,sea rocket,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2015),new 2020,documented,,,,,,44101,northvandad,https://www.inaturalist.org/observations/61066212,,52162
Capsella bursa-pastoris,(L.) Medik.,shepherd's-purse,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2020,documented,,,,,,43996,benkeen,https://www.inaturalist.org/observations/49673150, ,56121
Cardamine breweri,S. Watson,brewer's bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S4S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,76000
Cardamine breweri orbicularis,S. Watson,brewer's bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S4S5 (2015),confirmed,documented,37047,Frank Lomer,UBC,UBC: V235043,,43742,judithofsquamish,https://www.inaturalist.org/observations/33995507,,239738
Cardamine flexuosa,With.,wavy bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2006) ,new 2018,documented,,,,,,43227,judithofsquamish,https://www.inaturalist.org/observations/12248067,,69636
Cardamine hirsuta,L.,hairy bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001),new 2018,documented,,,,,,43190,judithofsquamish,https://www.inaturalist.org/observations/10542335,,55829
Cardamine oligosperma,Nutt.,little western bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,S5 (2015)  ,confirmed,documented,14336,J. Buckland,UBC,UBC: V12624,"LGL Limited, Environmental Research Associates, Sidney, BC",43520,benkeen,https://www.inaturalist.org/observations/20737116, ,52981
Cardamine pensylvanica ,Muhl. ex Willd,pennsylvania bittercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2015),reported,undocumented,4611,John Davidson,UBC,UBC: V12583,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,76005
Cardamine umbellata,Greene,umbel bitter-cress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43341,judithofsquamish,https://www.inaturalist.org/observations/17455810, ,359566
Draba albertina,Greene,slender draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2019),reported,undocumented,4611,John Davidson,UBC,UBC: V64031,,,,,"UBC: Helm Lake, Garibaldi  PP",76687
Draba aurea  ,Vahl,golden draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,162008
Draba incerta,Pays.,yellowstone draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,162030
Draba lonchocarpa,Rydb.,spear-fruited draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2019),reported,undocumented,1965-07-00,Bruce Fraser,UBC,UBC: V158275,,,,,UBC:  Garibaldi PP (location withheld),76701
Draba praealta,Greene,tall draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5? (2019),reported,undocumented,24647,Pat Warrington,LEA,LEA-VP-11868,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"U Lethbridge: The Barrier, Garibaldi PP",76707
Draba stenoloba,Ledeb.,alaska draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,native,S5 (2019),reported,undocumented,23970,Bruce Fraser,UBC,UBC: V158251,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC:  Sphinx Gl. Forelands, Garibaldi PP",162069
Draba verna,L.,common whitlowgrass,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2020,documented,,,,,,43894,elsemikkelsen,https://www.inaturalist.org/observations/70187581,,55823
Erysimum sp,L.,Wallflowers,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,,new 2021,documented,,,,,,44334,elsemikkelsen,https://www.inaturalist.org/observations/79700513,,50630
Hesperis matronalis,L.,dame's rocket,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001),new 2016,documented,,,,,,42498,hillanddale,https://www.inaturalist.org/observations/9531065,,47697
Lepidium campestre,(L.) W.T. Aiton,field peppergrass,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2019),new 2019,documented,,,,,,43645,benkeen,https://www.inaturalist.org/observations/27890320,,77663
