Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin or Residency Status,Status (coloured if red or blue listed),Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code,Latitude,Longditude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupithecia annulata,Hulst,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S5 (2017),new 2019,documented,,,,,,2019-04-02,benkeen,https://www.inaturalist.org/observations/21937596,iNat: needs i.d.,219788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupithecia cretaceata,Packard,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2019,documented,,,,,,2019-08-01,benkeen,https://www.inaturalist.org/observations/29985689,,219800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupithecia graefii,Hulst,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2020,documented,,,,,,2020-04-30,benkeen,https://www.inaturalist.org/observations/44447962,,219803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupithecia miserulata,Grote,common Eupithecia moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Exotic,genus is in CDC records,new 2019,documented,,,,,,2019-05-02,benkeen,https://www.inaturalist.org/observations/24419781,iNat: needs i.d.,143734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupithecia ravocostaliata,Packard,tawny Eupithecia moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2020,documented,,,,,,2020-04-13,benkeen,https://www.inaturalist.org/observations/42145469,,219826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupithecia unicolor,Hulst,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2018,documented,,,,,,2018-09-20,benkeen,https://www.inaturalist.org/observations/16736236,,357299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euplexia benesimilis,McDunnough,American angle shades,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017) ,new 2019,documented,,,,,,2019-07-17,benkeen,https://www.inaturalist.org/observations/29000935,,124179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupsilia tristigmata,Packard,three-spotted sallow,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017) ,new 2020,documented,,,,,,2020-02-12,benkeen,https://www.inaturalist.org/observations/38594188,,219848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurois occulta,L.,great brocade,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017) ,new 2019,documented,,,,,,2019-07-25,benkeen,https://www.inaturalist.org/observations/29514428,,219856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euthyatira pudens,Guenée,dogwood thyatirid moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Drepanoidea,Drepanidae,Thyatirinae,Native,S4S5 (2017),new 2019,documented,,,,,,2019-05-02,benkeen,https://www.inaturalist.org/observations/24423029,,219906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euthyatira semicircularis,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Drepanoidea,Drepanidae,Thyatirinae,Native,S4S5 (2017) ,new 2019,documented,,,,,,2019-06-01,benkeen,https://www.inaturalist.org/observations/26183357,,454824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euxoa auxiliaris,Grote,Army Cutworm Moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Exotic,S3S5 (2017),new 2021,documented,,,,,,10/2/2021,benkeen,https://www.inaturalist.org/observations/96953233,,84663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euxoa vetusta,Walker,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,,2019-08-28,benkeen,https://www.inaturalist.org/observations/31713490,,452577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euzophera semifuneralis,Walkjer,American plum borer moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Pyralidae,Phycitinae,Exotic,SNR (2017),new 2020,documented,,,,,,2020-06-01,benkeen,https://www.inaturalist.org/observations/48207518,,220023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergestis funalis,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Glaphyriinae, ,SNR (2017),new 2019,documented,,,,,,2019-08-07,benkeen,https://www.inaturalist.org/observations/30408533,,453340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feralia comstocki,Grote,Comstock's sallow,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Amphipyrinae,Native,S4S5 (2017),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-06-03,judithofsquamish,https://www.inaturalist.org/observations/16855178,,119937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feralia deceptiva,McDunnough,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Amphipyrinae,Native,S4S5 (2017),new 2019,documented,,,,,,2019-03-31,benkeen,https://www.inaturalist.org/observations/21864101,,452538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishia illocata,Walker,wandering brocade moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2020,documented,,,,,,2021-09-09,benkeen,https://www.inaturalist.org/observations/94286036,,220107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriola dyari,Taylor,Dyar's looper moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Native,S4S5 (2017),confirmed,documented,1936-07-19,unrecorded online,RBCM,ENT991-127723,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-06-26,benkeen,https://www.inaturalist.org/observations/27682695,RBCM: West Vancouver,178174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galleria mellonella,L.,greater wax moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Pyralidae,Galleriinae,Exotic,SNA (2017) ,new 2019,documented,,,,,,2019-09-10,benkeen,https://www.inaturalist.org/observations/32458336,,122940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesneria centuriella,Denis & Schiffermüller,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Scopariinae,Native,SNR (2017),new 2020,documented,,,,,,2020-06-29,benkeen,https://www.inaturalist.org/observations/51371549,iNat: needs i.d.,220379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedya nubiferana,Haworth,green budworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Olethreutinae,Exotic,SNA (2017),new 2020,documented,,,,,,2020-07-05,benkeen,https://www.inaturalist.org/observations/52025468,,320099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedya ochroleucana,Frölich,off-white Hedya moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Olethreutinae,Exotic,SNR (2017) ,new 2020,documented,,,,,,2020-07-18,benkeen,https://www.inaturalist.org/observations/53563128,iNat: needs i.d.,220996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellinsia homodactylus,Walker,plain plume moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pterophoroidea,Pterophoridae,Pterophorinae, ,SNR (2017) ,new 2019,documented,,,,,,2019-06-27,benkeen,https://www.inaturalist.org/observations/27791767,iNat: needs i.d.,221048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helotropha reniformis,Grote,kidney-spotted rustic moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2020,documented,,,,,,2020-09-12,benkeen,https://www.inaturalist.org/observations/59347027,,177929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemaris thetis,Boisduval,Rocky Mountain clearwing,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Sphingidae,Macroglossinae, ,SNR  ,reported,undocumented,1935-05-20,unrecorded online,RBCM,ENT991-082846,,,,,RBCM: West Vancouver,127170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemithea aestivaria,Hübner,common emerald,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Geometrinae,Exotic,SNA (2017),new 2017,documented,,,,,,2017-07-06,elsemikkelsen,https://www.inaturalist.org/observations/7435079,,322722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henricus fuscodorsana,Kearfott,cone cochylid moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Exotic,SNR (2017),new 2021,documented,,,,,,5/21/2021,benkeen,https://www.inaturalist.org/observations/79648891,,484848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpetogramma abdominalis (see 'Notes'),Zeller,a crambid snout moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Spilomelinae,Exotic,"genus not in CDC records, see 'notes' column AB",reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,iNat: split H. abdominalis into 4 spp https://www.inaturalist.org/taxon_changes?taxon_id=146645,221214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpetogramma aquilonalis,Handfield & Handfield,a sp of moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Spilomelinae,Exotic,genus is in CDC records,new 2019,documented,,,,,,7/10/2019,benkeen,https://www.inaturalist.org/observations/28600734,,1246994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herpetogramma pertextalis,Lederer,bold-feathered grass moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Spilomelinae,Exotic,genus not in CDC records,reported,undocumented,1935-07-21,unrecorded online,RBCM,ENT991-143210,,,,,RBCM: West Vancouver,143008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hesperia colorado oregonia,W.H. Edwards,silver-spotted skimmer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,Native,S1 (2013) ,reported,undocumented,1981-08-15,unrecorded online,RBCM,ENT989-007669,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"RBCM: H. comma oregonia, Centre Bay Gambier Island",236376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hesperumia latipennis,Hulst,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Native,S3S5 (2017),reported,undocumented,1932-06-27,unrecorded online,RBCM,ENT991-127357,,,,,RBCM: West Vancouver,334610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hofmannophila pseudospretella,Stainton,brown house moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gelechioidea,Oecophoridae,Oecophorinae,Exotic,SNA (2017) ,new 2014,documented,,,,,,2014-07-27,elsemikkelsen,https://www.inaturalist.org/observations/9214846,,129570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homorthodes fractura,Smith,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017) ,new 2019,documented,,,,,,2021-06-18,benkeen,https://www.inaturalist.org/observations/83517940,,362593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homorthodes hanhami,Barnes & McDunnough,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S3S4 (2017),new 2019,documented,,,,,,2019-07-07,benkeen,https://www.inaturalist.org/observations/28419082,,221480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyalophora euryalus,Boisduval,Ceanothus silk moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniinae, ,SNR ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-05-16,thuja,https://www.inaturalist.org/observations/12521495,,50913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydriomena albifasciata,Packard,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S3S5 (2017),new 2020,documented,,,,,,2020-08-16,benkeen,https://www.inaturalist.org/observations/56718856,iNat: needs i.d.,344662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydriomena californiata,Packard,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S3S5 (2017),new 2017,documented,,,,,,2020-05-29,benkeen,https://www.inaturalist.org/observations/47806750,,452681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydriomena irata,Swett,furious carpet moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017) ,new 2020,documented,,,,,,2020-04-29,benkeen,https://www.inaturalist.org/observations/44335844,iNat: needs i.d.,363278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydriomena manzanita,Taylor,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S3S5 (2017),new 2019,documented,,,,,,2019-04-27,benkeen,https://www.inaturalist.org/observations/40944834,,347769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydriomena marinata,Barnes & McDunnough,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S3S5 (2017),new 2020,documented,,,,,,2020-03-28,benkeen,https://www.inaturalist.org/observations/44335688,,354805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydriomena speciosata,Packard,a geometrid moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-07-14,benkeen,https://www.inaturalist.org/observations/28805571,,344224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyles gallii,Rottemburg,Galium sphinx moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Sphingidae,Macroglossinae, ,SNR,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-08-18,citizen1,https://www.inaturalist.org/observations/15743823,,118901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyles lineata,Fabricius,white-lined sphinx moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Sphingidae,Macroglossinae, ,SNR,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-08-18,citizen1,https://www.inaturalist.org/observations/15743532,,49348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypena californica,Behr,California cloverworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Hypeninae,Native,S5 (2017),new 2020,documented,,,,,,2020-03-29,benkeen,https://www.inaturalist.org/observations/41019553,,221966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypena humuli,Harris,hop vine snout,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Hypeninae,Native,S5 (2017),new 2019,documented,,,,,,2019-05-08,benkeen,https://www.inaturalist.org/observations/24821652,,143126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphantria cunea,Drury,fall webworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,Exotic,SNR,new 2019,documented,,,,,,2019-05-29,benkeen,https://www.inaturalist.org/observations/25986818,,127133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyppa sp.,Duponchel,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Exotic,genus is in CDC records,new 2020,documented,,,,,,2020-07-26,benkeen,https://www.inaturalist.org/observations/54369321,iNat: needs i.d.,63769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icaricia icarioides,Boisduval,Boisduval's Blue,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,Native,S5 (2013),new 2019,documented,,,,,,2019-06-07,geoc,https://www.inaturalist.org/observations/28657113,,520457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaea dimidiata,Hufnagel,single-dotted wave,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Sterrhinae,Native,S4S5 (2017) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-06-21,thuja,https://www.inaturalist.org/observations/13750423,,205231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iridopsis emasculatum,Dyar,an inchworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae, ,SU (2017) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-06-27,benkeen,https://www.inaturalist.org/observations/27795224,iNat: needs i.d.,362442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glaucopsyche lygdamus,Doubleday,silvery blue,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,Native,S5 (2013),confirmed,documented,1935-05-12,unrecorded online,,ENT991-141729,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-06-02,steveansell,https://www.inaturalist.org/observations/55835569,RBCM: West Vancouver,56776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habrosyne scripta,Gosse,lettered habrosyne moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Drepanoidea,Drepanidae,Thyatirinae,Native,S4S5 (2017),new 2019,documented,,,,,,2019-07-31,benkeen,https://www.inaturalist.org/observations/29916183,,220826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacinipolia cuneata,Grote,cuneate arches moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S3S4 (2017),new 2020,documented,,,,,,2020-06-10,benkeen,https://www.inaturalist.org/observations/49177346,,222582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacinipolia strigicollis,Wallengren,collared arches moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2020,documented,,,,,,2020-07-24,benkeen,https://www.inaturalist.org/observations/54137342,,222592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambdina fiscellaria,Guenée,hemlock looper moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Native,S4S5 (2017),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2017-09-15,elsemikkelsen,https://www.inaturalist.org/observations/9198357,,154446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lateroligia ophiogramma,Esper,double-lobed moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Exotic,SNA (2017),new 2020,documented,,,,,,2020-07-23,benkeen,https://www.inaturalist.org/observations/54057343,,222724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptarctia californiae,Walker,California tiger moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae, ,SNR,confirmed,documented,1987-04-17,unrecorded online,,ENT991-164244,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-05-04,benkeen,https://www.inaturalist.org/observations/24533457,RBCM: Lions Bay; Magnesia Creek,209782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucania dia,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,,2020-06-02,benkeen,https://www.inaturalist.org/observations/48237596,,223545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucania farcta,Grote,meadow wainscot moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,,2019-06-30,benkeen,https://www.inaturalist.org/observations/27946349,,223547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucoma salicis,L.,white satin moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Lymantriinae,Exotic,SNA (2017) ,new 2019,documented,,,,,,2019-05-29,benkeen,https://www.inaturalist.org/observations/25986818,,209787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limenitis lorquini,Boisduval,Lorquin's admiral,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Limenitidinae,Native,S5 (2013) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2014-07-25,elsemikkelsen,https://www.inaturalist.org/observations/9235238,,50880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
