iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Common name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,sinceTimestamp,sinceRecordedBy,sinceCollection,reportingStatus,foodValue,medicinalValue,spiritualValue,materialValue,tradeValue,indicatorValue,hulquminumName,hulquminumAuthority
Cerobasis,248683,Cerobasis sp.,0,accepted,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Psocodea,Trogiomorpha,Atropetae,,Trogiidae,,,Cerobasis,,,,,,2018-05-19,Scott Gilmore,iNat,new 2018,,,,,,,,
Agulla adnixa,60043,Agulla adnixa,0,accepted,snake fly,(Hagen),Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Raphidioptera,,,,Raphidiidae,Raphidiinae,Agullini,Agulla,adnixa,1975-07-11,N.C. Scudder,SEM,SEM-UBC RAP-0067,,,iNat,reported,,,,,,,,
Agulla assimilis,498347,Agulla assimilis,0,accepted,snake fly,(Albarda),Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Raphidioptera,,,,Raphidiidae,Raphidiinae,Agullini,Agulla,assimilis,1989-08-19,Geoffrey G.E. Scudder,SEM,SEM-UBC RAP-0125,2018-05-20,Andrew Simon,iNat,confirmed,,,,,,,,
Agulla herbsti,498348,Agulla herbsti,0,accepted,snake fly,(Esben-Petersen),Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Raphidioptera,,,,Raphidiidae,Raphidiinae,Agullini,Agulla,herbsti,1974-05-19,Geoffrey G.E. Scudder,SEM,SEM-UBC RAP-0238,,,iNat,reported,,,,,,,,
Ctenocephalides felis,311218,Ctenocephalides felis,0,accepted,cat flea,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Siphonaptera,,,Pulicoidea,Pulicidae,,,Ctenocephalides,felis,,,,,2017-10-19,Lauren Magner,iNat,new 2017,,,,,,,,
Pseudoxenos,211871,Pseudoxenos sp.,0,accepted,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Strepsiptera,Stylopidia,,,Xenidae,,,Pseudoxenos,,,,,,2019-08-22,Chris Ratzlaff,iNat,new 2019,,,,,,,,
Halesochila taylori,220866,Halesochila taylori,0,accepted,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Halesochila,taylori,,,,,2022-10-04,Kevin Toomer,iNat,new 2022,,,,,,,,
Hesperophylax,177874,Hesperophylax sp.,0,accepted,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Hesperophylax,,,,,,2022-09-19,Kevin Toomer,iNat,new 2022,,,,,,,,
Lenarchus,177504,Lenarchus sp.,0,accepted,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Lenarchus,,,,,,2023-09-21,Kevin Toomer,iNat,new 2023,,,,,,,,
Lenarchus vastus,223174,Lenarchus vastus,0,accepted,caddisfly,(Hagen),Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Lenarchus,vastus,1975-08-28,Geoffrey G.E. Scudder,SEM,SEM-UBC TRI-0441,,,iNat,reported,,,,,,,,
Limnephilus externus,223713,Limnephilus externus,0,accepted,caddisfly,Hagen,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Limnephilus,externus,1981-07-07,Geoffrey G.E. Scudder,SEM,SEM-UBC TRI-0176,,,iNat,reported,,,,,,,,
Limnephilus nogus,223738,Limnephilus nogus,0,accepted,caddisfly,Ross,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Limnephilus,nogus,1987-04-19,Geoffrey G.E. Scudder,SEM,SEM-UBC TRI-0247,,,iNat,reported,,,,,,,,
Limnephilus rhombicus,223751,Limnephilus rhombicus,0,accepted,Diamond Northern Caddisfly,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Limnephilus,rhombicus,,,,,2022-10-06,Kevin Toomer,iNat,new 2022,,,,,,,,
Limnephilus sitchensis,223760,Limnephilus sitchensis,0,accepted,caddisfly,Kolenati,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Limnephilini,Limnephilus,sitchensis,1981-04-19,Geoffrey G.E. Scudder,SEM,SEM-UBC TRI-0313,,,iNat,reported,,,,,,,,
Psychoglypha bella,229274,Psychoglypha bella,0,accepted,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,,Limnephiloidea,Limnephilidae,Limnephilinae,Chilostigmini,Psychoglypha,bella,,,,,2023-01-28,Kevin Toomer,iNat,new 2023,,,,,,,,
Polycentropus remotus,228566,Polycentropus remotus,0,accepted,tube maker caddisfly,Banks,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Annulipalpia,,Hydropsychoidea,Polycentropodidae,,,Polycentropus,remotus,1987-08-07,Geoffrey G.E. Scudder,SEM,SEM-UBC TRI-0100,,,iNat,reported,,,,,,,,
Ctenolepisma,183203,Ctenolepisma sp.,0,accepted,,,Animalia,Arthropoda,Hexapoda,,Insecta,,,Zygentoma,,,,Lepismatidae,,,Ctenolepisma,,,,,,2019-01-04,Dave “Zeuss” Cochrane,iNat,new 2019,,,,,,,,
Scolopocryptops spinicaudus,322408,Scolopocryptops spinicaudus,0,accepted,centipede,"Wood, 1862",Animalia,Arthropoda,Myriapoda,,Chilopoda,,,Scolopendromorpha,,,,Scolopocryptopidae,,,Scolopocryptops,spinicaudus,,,,,2019-05-04,Charlene Wood,iNat,new 2019,,,,,,,,
Ophyiulus pilosus,121484,Ophyiulus pilosus,0,accepted,millipede,"(Newport, 1843)",Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,,,Juloidea,Julidae,Julinae,Leptoiulini,Ophyiulus,pilosus,,,,,2017-05-27,Andrew Simon,iNat,new 2017,,,,,,,,
Uroblaniulus idahoanus,881100,Uroblaniulus idahoanus,0,accepted,millipede,"Chamberlin, 1950",Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,,,Parajuloidea,Parajulidae,,,Uroblaniulus,idahoanus,,,,,2016-06-23,William Terpenning,iNat,new 2016,,,,,,,,
Polydesmus,127614,Polydesmus sp.,0,accepted,millipede,,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,Polydesmidea,Polydesmoides,Polydesmoidea,Polydesmidae,,,Polydesmus,,,,,,2020-06-21,Rhys Hutton,iNat,new 2020,,,,,,,,
Scytonotus,121481,Scytonotus sp.,0,accepted,millipede,,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,Polydesmidea,Polydesmoides,Polydesmoidea,Polydesmidae,,,Scytonotus,,1990-09-23,Geoffrey G.E. Scudder,RBCM,ENT020-005184,2016-11-24,Ed Andrusiak,iNat,confirmed,,,,,,,,
Harpaphe haydeniana,47737,Harpaphe haydeniana,0,accepted,yellow-spotted millipede,"(Wood, 1864)",Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,Leptodesmidea,,Xystodesmoidea,Xystodesmidae,Xystodesminae,Xystodesmini,Harpaphe,haydeniana,2010-04-17,Kent Brothers,VMS,,2016-05-07,"Alison, Laura and Malcolm Colwell",iNat,confirmed,,,,,,,,
Polyxenus,133865,Polyxenus sp.,0,accepted,millipede,,Animalia,Arthropoda,Myriapoda,,Diplopoda,Penicillata,,Polyxenida,,,Polyxenoidea,Polyxenidae,,,Polyxenus,,,,,,2019-05-06,Scott Gilmore,iNat,new 2019,,,,,,,,
Canis familiaris,47144,Canis familiaris,0,accepted,domestic dog,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Canidae,,,Canis,familiaris,2011-05-14,Kent Brothers,VMS,,2016-04-02,Andrew Simon,iNat,confirmed,,,,,,,,
Capra hircus,123070,Capra hircus,0,accepted,domestic goat,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Bovidae,Antilopinae,Caprini,Capra,hircus,1958-05-02,V. Geist,UBC,M007306,2017-06-01,Andrew Simon,iNat,confirmed,,,,,,,,
Castor canadensis,43794,Castor canadensis,0,accepted,beaver,"Kuhl, 1820",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,,Castoridae,,,Castor,canadensis,,,,,2014-05-19,Andrew Simon,iNat,new 2014,1,1,1,1,1,1,sqwul'ew',"(Thom, 2011)"
Cervus canadensis roosevelti,566550,Cervus canadensis roosevelti,0,accepted,Roosevelt elk,"(Erxleben, 1777)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Cervidae,Cervinae,Cervini,Cervus,canadensis,,,,,2019-06-14,Nancy Mcphee,iNat,new 2019,1,1,1,1,1,0,kwewe'uts,"(Thom, 2011)"
Corynorhinus townsendii,74205,Corynorhinus townsendii,0,accepted,Townsend’s big-eared bat,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Plecotini,Corynorhinus,townsendii,,,,,2017-08-31,Michael Keefer,iNat,new 2017,,,,,,,,
Eptesicus fuscus,40509,Eptesicus fuscus,0,accepted,big brown myotis,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Eptesicus,fuscus,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,2018-08-14,Andrew Simon,iNat,new 2018,,,,,,,,
Equus caballus,209233,Equus caballus,0,accepted,horse,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Perissodactyla,,,,Equidae,,,Equus,caballus,,,,,2016-05-06,Andrew Simon,iNat,new 2016,,,,,,,,
Felis catus,118552,Felis catus,0,accepted,domestic cat,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Felidae,Felinae,,Felis,catus,,,,,2016-04-27,Kathleen Buckley,iNat,new 2016,,,,,,,,
Homo sapiens,43584,Homo sapiens,0,accepted,human,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,Simiiformes,Hominoidea,Hominidae,Homininae,,Homo,sapiens,2011-05-14,Kent Brothers,VMS,,2016-05-16,Kris Krüg,iNat,confirmed,,,,,,,,
Lasionycteris noctivagans,40629,Lasionycteris noctivagans,0,accepted,silver-haired bat,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Eptesicini,Lasionycteris,noctivagans,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,2021-05-10,Dave “Zeuss” Cochrane,iNat,new 2018,,,,,,,,
Lasiurus cinereus,40523,Lasiurus cinereus,0,accepted,hoary bat,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Vespertilioninae,Lasiurini,Lasiurus,cinereus,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,iNat,new 2018,,,,,,,,
Microtus pennsylvanicus,44311,Microtus pennsylvanicus,0,accepted,meadow vole,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,pennsylvanicus,,,,,2020-11-19,guym,iNat,new 2020,,,,,,,,
Microtus townsendii,44298,Microtus townsendii,0,accepted,Townsend's vole,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Microtini,Microtus,townsendii,,,,,2017-03-23,Kate Emmings,iNat,new 2017,,,,,,,,
Myotis californicus,40342,Myotis californicus,0,accepted,California myotis,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,californicus,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,iNat,new 2018,,,,,,,,
Myotis ciliolabrum,68093,Myotis ciliolabrum,0,accepted,western small-footed myotis,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,ciliolabrum,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,iNat,new 2018,,,,,,,,
Myotis evotis,40354,Myotis evotis,0,accepted,long-eared myotis,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,evotis,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,2020-07-25,Jakob Fahr,iNat,new 2018,,,,,,,,
Myotis lucifugus,40346,Myotis lucifugus,0,accepted,little brown bat,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,lucifugus,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,iNat,new 2018,,,,,,,,
Myotis yumanensis,40325,Myotis yumanensis,0,accepted,yuma myotis,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Vespertilionidae,Myotinae,,Myotis,yumanensis,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,iNat,new 2018,,,,,,,,
Odocoileus hemionus columbianus,42221,Odocoileus hemionus columbianus,0,accepted,Columbian black-tailed deer,"Rafinesque, 1817",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Cervidae,Capreolinae,Odocoileini,Odocoileus,hemionus,2012-05-12,,VMS,,2009-07-26,Cameron Deckert,iNat,confirmed,1,1,1,1,1,1,ha'put,"(Thom, 2011)"
Ondatra zibethicus,45763,Ondatra zibethicus,0,accepted,muskrat,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Arvicolinae,Ondatrini,Ondatra,zibethicus,,,,,2021-09-05,sackum,iNat,new 2021,,,,,,,,
Ovis aries,121578,Ovis aries,0,accepted,domestic sheep,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,,Bovidae,Antilopinae,Caprini,Ovis,aries,,,,,2015-02-12,Lauren Magner & Andrew Simon,iNat,new 2015,,,,,,,,
Peromyscus sonoriensis,1431239,Peromyscus sonoriensis,0,accepted,deer mouse,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Cricetidae,Neotominae,Reithrodontomyini,Peromyscus,sonoriensis,1977-05-20,P. Thompson,UBC,M010851,,,iNat,reported,,,,,,,,
Procyon lotor,41663,Procyon lotor,0,accepted,common racoon,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Procyonidae,,,Procyon,lotor,,,,,2016-04-17,Kris Krüg,iNat,new 2016,1,1,1,1,1,0,sxayukw'us,"(Thom, 2011)"
Rattus rattus,44575,Rattus rattus,0,accepted,black rat,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,,Muroidea,Muridae,Murinae,Rattini,Rattus,rattus,,,,,2018-10-15,Emma Davis,iNat,new 2018,,,,,,,,
Sciurus carolinensis,46017,Sciurus carolinensis,0,accepted,eastern grey squirrel,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Sciurinae,Sciurini,Sciurus,carolinensis,,,,,2020-02-20,Andrew Loveridge,iNat,new 2020,,,,,,,,
Sorex vagrans vagrans,345876,Sorex vagrans vagrans,0,accepted,vagrant shrew,"Rafinesque, 1817",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,Erinaceota,,,Soricidae,Soricinae,Soricini,Sorex,vagrans,1982-07-13,I.F. Greenbaum et al.,CMN,45718,2018-04-28,Christian Adler,iNat,confirmed,,,,,,,,
Tadarida brasiliensis,41301,Tadarida brasiliensis,0,accepted,Brasilian free-tailed bat,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Chiroptera,Yangochiroptera,,Vespertilionoidea,Molossidae,Molossinae,,Tadarida,brasiliensis,2018-01-24,Frieda Weinert,Bat Monitoring on Galiano BC,,,,iNat,new 2018,,,,,,,,
Tamiasciurus hudsonicus lanuginosus,1256665,Tamiasciurus hudsonicus lanuginosus,0,accepted,red squirrel,,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,hudsonicus,2013-05-04,Kent Brothers,VMS,,2013-07-26,Cameron Deckert,iNat,confirmed,,,,,,,,
Ancotrema sportella sportella,1039200,Ancotrema sportella sportella,0,accepted,beaded lancetooth,"(Gould, 1846)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Oleacinoidei,Haplotrematoidea,Haplotrematidae,Haplotrematinae,,Ancotrema,sportella,,,,,2021-05-01,Andrew Simon,iNat,new 2021,,,,,,,,
Ariolimax columbianus,47776,Ariolimax columbianus,0,accepted,Pacific banana slug,"Gould, 1851",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Ariolimax,columbianus,2011-05-14,Kent Brothers,VMS,,2013-04-06,Felix Erhard,iNat,confirmed,0,1,1,0,0,0,q'iyatl'un,"(Thom, 2011)"
Arion,549548,Arion sp.,0,accepted,chocolate slug,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Arionidae,,,Arion,,2019-05-03,M. Ankenman,RBCM,020-00039-001,2015-08-28,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Cepaea hortensis,51039,Cepaea hortensis,0,accepted,white-lipped snail,"(O. F. Müller, 1774)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,hortensis,,,,,2021-07-22,Kevin Toomer,iNat,new 2021,,,,,,,,
Cepaea nemoralis,48586,Cepaea nemoralis,0,accepted,brown-lipped snail,"(Linnaeus, 1758)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,nemoralis,,,,,2018-05-06,Kevin Toomer,iNat,new 2018,,,,,,,,
Deroceras laeve,209624,Deroceras laeve,0,accepted,meadow slug,"(O. F. Müller, 1774)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidei,Limacoidea,Agriolimacidae,Agriolimacinae,,Deroceras,laeve,,,,,2022-03-28,Liam Ragan,iNat,new 2022,,,,,,,,
Deroceras reticulatum,124432,Deroceras reticulatum,0,accepted,gray fieldslug,"(O. F. Müller, 1774)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidei,Limacoidea,Agriolimacidae,Agriolimacinae,,Deroceras,reticulatum,,,,,2022-02-19,Kevin Toomer,iNat,new 2022,,,,,,,,
Haplotrema vancouverense,220933,Haplotrema vancouverense,0,accepted,robust lancetooth,"(I. Lea, 1839)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Oleacinoidei,Haplotrematoidea,Haplotrematidae,Haplotrematinae,,Haplotrema,vancouverense,,,,,2018-02-15,Kevin Toomer,iNat,new 2018,,,,,,,,
Limax maximus,62470,Limax maximus,0,accepted,leopard slug,"Linnaeus, 1758",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidei,Limacoidea,Limacidae,Limacinae,,Limax,maximus,,,,,2013-02-05,"Alison, Laura & Malcolm Colwell",iNat,new 2016,,,,,,,,
Monadenia fidelis,62803,Monadenia fidelis,0,accepted,Pacific sideband,"(J. E. Gray, 1834)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,fidelis,2010-04-17,Kent Brothers,VMS,,2015-03-26,Andrew Simon,iNat,confirmed,,,,,,,,
Oxychilus,90567,Oxychilus sp.,0,accepted,glass snail,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidei,Gastrodontoidea,Oxychilidae,Oxychilinae,,Oxychilus,,,,,,2018-03-20,Kevin Toomer,iNat,new 2018,,,,,,,,
Paralaoma servile,1068846,Paralaoma servilis,0,,pinhead spot snail,"(Shuttleworth, 1852)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,,Punctoidea,Punctidae,Laominae,,Paralaoma,servile,,,,,2019-09-20,Scott Gilmore,iNat,new 2019,,,,,,,,
Prophysaon foliolatum,228801,Prophysaon foliolatum,0,accepted,yellow-bordered taildropper,"(Gould in A. Binney, 1851)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Prophysaon,foliolatum,,,,,2018-11-01,Kevin Toomer,iNat,new 2018,,,,,,,,
Sphaeriinae,871416,Sphaeriinae,0,accepted,freshwater mollusc,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Sphaeriida,,,Sphaerioidea,Sphaeriidae,Sphaeriinae,,,,,,,,2020-09-12,Andrew Simon,iNat,new 2020,,,,,,,,
Vespericola columbianus,1473968,Vespericola columbianus,0,accepted,northwest hesperian,"(I. Lea, 1839)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Polygyridae,Triodopsinae,Vespericolini,Vespericola,columbianus,,,,,2019-05-04,Scott Gilmore,iNat,new 2019,,,,,,,,
Prophysaon andersonii,1126805,Prophysaon andersoni,0,unaccepted,reticulate taildropper,"(J.G. Cooper, 1872)",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Prophysaon,andersonii,2017-05-20,Kent Brothers,VMS,,2017-06-02,Libby McClelland,iNat,confirmed,,,,,,,,
Agrobacterium radiobacter,975247,Agrobacterium radiobacter,0,accepted,gram-negative bacillus,,Bacteria,Proteobacteria,,,Alphaproteobacteria,,,Rhizobiales,,,,Rhizobiaceae,,,Agrobacterium,radiobacter,,,,,2023-04-24,Kevin Toomer,iNat,new 2023,,,,,,,,
Frankia,334078,Frankia sp.,0,accepted,actinobacterium,,Bacteria,Actinobacteria,,,,,,Actinomycetales,,,,Frankiaceae,,,Frankia,,,,,,2017-10-04,Marty Moser,iNat,new 2017,,,,,,,,
Nostoc commune,319815,Nostoc commune,0,accepted,star jelly,"Vaucher ex Bornet & Flahault, 1888",Bacteria,Cyanobacteria,,,Cyanophyceae,Nostocophycidae,,Nostocales,,,,Nostocaceae,,,Nostoc,commune,,,,,2017-04-01,Andrew Simon,iNat,new 2017,,,,,,,,
Oscillatoria,324242,Oscillatoria sp.,0,accepted,cyanobacterium,,Bacteria,Cyanobacteria,,,Cyanophyceae,Oscillatoriophycidae,,Oscillatoriales,,,,Oscillatoriaceae,,,Oscillatoria,,,,,,2006-01-13,Mark Webber,iNat,new 2016,,,,,,,,
Spirulina,311339,Spirulina sp.,0,accepted,cyanobacterium,,Bacteria,Cyanobacteria,,,Cyanophyceae,Oscillatoriophycidae,,Spirulinales,,,,Spirulinaceae,,,Spirulina,,,,,,2003-07-20,Mark Webber,iNat,new 2016,,,,,,,,
Abortiporus biennis,118041,Abortiporus biennis,0,accepted,Blushing Rosette,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,,Podoscyphaceae,,,Abortiporus,biennis,,,,,2018-10-31,Christopher Heffley,iNat,new 2018,,,,,,,,
Abrothallus usneae,462228,Abrothallus usneae,0,accepted,lichenicole,Rabenh.,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Abrothallales,,,,Lichenoconiaceae,,,Abrothallus,usneae,,,,,2022-03-11,Alejandro Huereca Delgado,iNat,new 2022,,,,,,,,
Abrothallus welwitschii,212194,Abrothallus welwitschii,0,accepted,lichenicole,Mont. ex Tul.,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Abrothallales,,,,Lichenoconiaceae,,,Abrothallus,welwitschii,,,,,2021-10-23,Alejandro Huereca Delgado,iNat,new 2021,,,,,,,,
Agaricus arvensis,58699,Agaricus arvensis,0,accepted,horse mushroom,Schaeff.,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,,Agaricaceae,,,Agaricus,arvensis,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,iNat,reported,,,,,,,,
Agaricus augustus,49547,Agaricus augustus,0,accepted,the Prince,Fr.,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,,Agaricaceae,,,Agaricus,augustus,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,2017-06-20,Andrew Simon,iNat,confirmed,,,,,,,,
Agaricus bisporus,61395,Agaricus bisporus,0,accepted,button ‘money’s’ mushroom,(J.E. Lange) Imbach,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,,Agaricaceae,,,Agaricus,bisporus,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,iNat,reported,,,,,,,,
Agaricus campestris,143563,Agaricus campestris,0,accepted,meadow mushroom,L.,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,,Agaricaceae,,,Agaricus,campestris,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,iNat,reported,,,,,,,,
