Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Lafoea dumosa,"(Fleming, 1820)",,muff hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Lafoeidae,,,,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Melicertum octocostatum,"(M. Sars, 1835)",,eight-strand jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Melicertidae,,,,reported,unobserved,2009-04-13,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,550154,
Mitrocoma cellularia,"(A. Agassiz, 1865)",,cross jellyfish,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Mitrocomidae,,,,reported,unobserved,1928-07-20,"Fisheries Research Board of Canada, Nanaimo",CMN,CMNI 2012-0102,,,,,,,,"Reported as Halistaura cellularia (A. Agassiz, 1862) in CMN collections; see Henry's note re: distribution"
Plumularia setacea,"(Linnaeus, 1758)",,glassy plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,,,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Plumularia sp.,,,delicate plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,,,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Sertularella sp.,,,garland hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertularellidae,,,,reported,unobserved,1985-08-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Abietinaria greenei,"(Murray, 1860)",,fibre-optic hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,,reported,observed,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Abietinaria sp.,,,coarse sea fir hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,,reported,observed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Hydrallmania franciscana,"Nutting, 1899",,loose spiral hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,,reported,unobserved,2006-06-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Selaginopsis sp.,,,fish-bone hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Thuiaria spp.,,,embedded sea fir hydroids,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,,reported,unobserved,2006-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Thuiaria thuja,"(Linnaeus, 1758)",,bottlebrush hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,,reported,unobserved,2002-03-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Gonionemus vertens,"A. Agassiz, 1862",,clinging jellyfish,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Limnomedusae,,,Olindiasidae,,,,new 2016,observed,,,,,,2013-07-07,Karolle Wall,http://www.inaturalist.org/observations/3706321,https://static.inaturalist.org/photos/4303982/medium.jpg?1468970048,,501046,
Aegina citrea,"Eschscholtz, 1829",,four tentacled jelly,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Aeginidae,,,,reported,observed,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Solmissus sp.,,,scalloped jelly,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Cuninidae,,,,reported,unobserved,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
