iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Author,Date observed,Place name,Recorded by
Gentiana sceptrum,77244,Gentiana sceptrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Gentianaceae,,Gentianeae,Gentiana,sceptrum,HOWE:55,49.492322,-123.563591,Griseb.,2021-07-26,,Rand Rudland
Actaea rubra,49870,Actaea rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Actaeeae,Actaea,rubra,HOWE:56,49.483634,-123.56752,(Alton) Willd.,2022-06-26,,Lyrae
Asarum caudatum,52858,Asarum caudatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Piperales,,,,Aristolochiaceae,Asaroideae,,Asarum,caudatum,HOWE:57,49.482279,-123.558899,Lindl.,2022-06-26,,Lyrae
Athyrium filix-femina cyclosorum,61002,Athyrium filix-femina var. cyclosorum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Athyriaceae,,,Athyrium,filix-femina,HOWE:58,49.483671,-123.568009,(L.) Roth,2022-08-07,,Rand Rudland
Coptis aspleniifolia,160861,Coptis aspleniifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Coptidoideae,,Coptis,aspleniifolia,HOWE:59,49.484228,-123.5669,Salisb.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Dicentra formosa formosa,51049,Dicentra formosa ssp. formosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Papaveraceae,Fumarioideae,Corydaleae,Dicentra,formosa,HOWE:60,49.484741,-123.562171,(Haw.) Walp.,2022-06-26,,Lyrae
Dryopteris filix-mas,76721,Dryopteris filix-mas,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,,Dryopteridaceae,Dryopteridoideae,,Dryopteris,filix-mas,HOWE:61,49.484243,-123.567145,(L.) Schott,2022-06-26,,Lyrae
Gentiana septemfida,153938,Gentiana septemfida?,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Gentianaceae,,Gentianeae,Gentiana,septemfida,HOWE:62,49.484211,-123.566944,Pall.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Goodyera oblongifolia,50719,Goodyera oblongifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Orchidoideae,Cranichideae,Goodyera,oblongifolia,HOWE:63,49.483558,-123.568304,Raf.,2022-08-07,,Rand Rudland
Kalmia microphylla occidentalis,1035494,Kalmia microphylla var. occidentalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Phyllodoceae,Kalmia,microphylla,HOWE:64,49.484211,-123.566944,(Hook.) A.Heller,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:65,49.484228,-123.5669,L.,2016-08-25,Dakota Bog (between Dakota Ridge & Mt Elphinstone),"Edinburgh, Howick Expedition to British Columbia (EHBC)"
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:66,49.487304,-123.56547,L.,2022-08-07,,Rand Rudland
