Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Meconella oregana,Nutt.,,white meconella,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Papaveraceae,,,Meconella,oregana,,,,native,S1S2 (2019),1-E (2006),confirmed,observed,1980-04-11,Harvey Janszen,RBCM,V107366,,2014-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142345,,77970,VAS,accepted,77970,Meconella oregana,Meconella oregana
Medicago arabica,(L.) Huds.,,spotted medic,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Medicago,arabica,,,,exotic,unlisted,,new 2022,unobserved,2022-06-13,Frank Lomer,UBC,13040,,,,,,61012,VAS,accepted,61012,Medicago arabica,Medicago arabica
Medicago lupulina,L.,,black medic,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Medicago,lupulina,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2020-06-04,Andrew Simon,https://www.inaturalist.org/observations/48489340,,57056,VAS,accepted,57056,Medicago lupulina,Medicago lupulina
Medicago sativa ssp. sativa,L.,,alfalfa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Medicago,sativa,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,57057,VAS,accepted,57070,Medicago sativa sativa,Medicago sativa
Melica harfordii,Bol.,,Harford's melic,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Melica,harfordii,,,,native,S4,,confirmed,observed,2022-06-13,Frank Lomer,UBC,13034,,2017-07-28,Andrew Simon,https://www.inaturalist.org/observations/7278330,,77983,VAS,accepted,77983,Melica harfordii,Melica harfordii
Melica smithii,(Porter) Vasey,,Smith's melic,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Melica,smithii,,,,native,S4,,reported,unobserved,1986-08-16,William J. Crins,UBC,V191357,,,,,west of Stockade Hill; overlooking Montague;Mesic depression under Bigleaf Maple-fir-Red Alder-Red Cedar,143698,VAS,accepted,143698,Melica smithii,Melica smithii
Melica subulata,(Griseb.) Scribn.,,Alaska oniongrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Melica,subulata,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V191358,,2016-05-10,Andrew Simon,http://www.inaturalist.org/observations/3311145,,77986,VAS,accepted,77986,Melica subulata,Melica subulata
Melilotus albus,Medik.,,white sweet-clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Melilotus,albus,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,58907,VAS,accepted,58907,Melilotus albus,Melilotus albus
Melissa officinalis,L.,,lemon balm,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Melissa,officinalis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-27,Andrew Simon,http://www.inaturalist.org/observations/3978723,,59901,VAS,accepted,59901,Melissa officinalis,Melissa officinalis
Mentha canadensis,L.,,Canada mint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Mentha,canadensis,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,,2015-05-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2569386,"M. arvensis misreported; ”M. canadensis is a distinct morphotype not to be confused with European M. arvensis s.str. I have only seen M. canadensis in the SGI. I have not seen M. arvensis in BC but it might well be here."" (QC)",58188,VAS,accepted,77991,Mentha canadensis,Mentha arvensis
Mentha spicata,L.,,spearmint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Mentha,spicata,,,,exotic,unlisted,,new 2017,observed,2017-05-27,Alexander J. Wright,Bioblitz Galiano 2017,,,,,,adventive,62652,VAS,accepted,62652,Mentha spicata,Mentha spicata
Mentha suaveolens,Ehrh.,,applemint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Mentha,suaveolens,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,adventive,77993,VAS,accepted,77993,Mentha suaveolens,Mentha suaveolens
Menyanthes trifoliata,L.,,buckbean,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Menyanthaceae,,,Menyanthes,trifoliata,,,,native,S5,,new 2016,observed,,,,,,2016-08-13,Adam Huggins & Andrew Simon,http://www.inaturalist.org/observations/3882093,,78016,VAS,accepted,78016,Menyanthes trifoliata,Menyanthes trifoliata
Micranthes integrifolia,(Hook.) Small,,grassland saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Saxifragaceae,,,Micranthes,integrifolia,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142627,,78027,VAS,accepted,78027,Micranthes integrifolia,Micranthes integrifolia
Micranthes rufidula,Small,,rusty-haired saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Saxifragaceae,,,Micranthes,rufidula,,,,native,S5,,new 2018,observed,,,,,,2018-03-05,Andrew Simon,https://www.inaturalist.org/observations/10109045,,357949,VAS,accepted,357949,Micranthes rufidula,Micranthes rufidula
Microsteris gracilis,(Douglas ex Hook.) Greene,,pink twink,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Polemoniaceae,,,Microsteris,gracilis,,,,native,S5,,confirmed,observed,1982-05-10,Harvey Janszen,RBCM,V119985,1949568896,2018-05-11,Andrew Simon,https://www.inaturalist.org/observations/12373997,reported as Phlox gracilis (V119985),61210,VAS,accepted,61210,Microsteris gracilis,Microsteris gracilis
Moehringia macrophylla,(Hook.) Fenzl,,big-leaved sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Moehringia,macrophylla,,,,native,S5,,confirmed,observed,1975-05-13,Angela Wood,RBCM,V097335,1949546493,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608744,,61884,VAS,accepted,61884,Moehringia macrophylla,Moehringia macrophylla
Moenchia erecta,"(L.) P.Gaertn., B.Mey. & Scherb.",,upright chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Moenchia,erecta,,,,exotic,unlisted,,new 2020,observed,2022-06-10,Frank Lomer,UBC,13003,,2020-05-07,Andrew Simon,https://www.inaturalist.org/observations/45205082,,78088,VAS,accepted,78088,Moenchia erecta,Moenchia erecta
Monotropa hypopitys,L.,,pinesap,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Monotropoideae,,Monotropa,hypopitys,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,59986,VAS,accepted,59986,Monotropa hypopitys,Monotropa hypopitys
Monotropa uniflora,L.,,indian-pipe,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Monotropoideae,,Monotropa,uniflora,,,,native,S5,,confirmed,observed,1979-06-28,Harvey Janszen,RBCM,V097820,1949546874,2006-07-05,Sarah Tweedale,http://inaturalist.ca/observations/3502607,,49477,VAS,accepted,49477,Monotropa uniflora,Monotropa uniflora
Montia dichotoma,(Nutt.) Howell,,dwarf montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,dichotoma,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178676,,2017-04-24,Andrew Simon,https://www.inaturalist.org/observations/5964573,Sticks West; wet mossy area above sea,78119,VAS,accepted,78119,Montia dichotoma,Montia dichotoma
Montia fontana,L.,,blinks,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,fontana,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V230998,,2017-01-29,Tyrel Froese & Andrew Simon,https://www.inaturalist.org/observations/5024437,,58990,VAS,accepted,58990,Montia fontana,Montia fontana
Montia howellii,S. Watson,,Howell's montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,howellii,,,,native,S5,,confirmed,observed,2001-04-11,Frank Lomer,UBC,V234966,,2017-04-14,Andrew Simon,https://www.inaturalist.org/observations/5715310,,78121,VAS,accepted,78121,Montia howellii,Montia howellii
Montia linearis,(Douglas ex Hook.) Greene,,narrow-leaved montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,linearis,,,,native,S5,,confirmed,observed,1988-04-23,Gerald B. Straley,UBC,V194247,,2019-05-04,Kiara Gannon,https://www.inaturalist.org/observations/24708159,Bellhouse; vernally wet grassy area; in shallow soil above rocks,78122,VAS,accepted,78122,Montia linearis,Montia linearis
Montia parvifolia,(Moc. ex DC.) Greene,,small-leaved montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,parvifolia,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617694,"application of Montia parvifolia var. flagellaris unclear; sometimes used for all larger plants, sometimes for pink flowers; names don’t correlate to variation in the taxon",78123,VAS,accepted,78123,Montia parvifolia,Montia parvifolia
Muscari armeniacum,Leichtlin,,Armenian grape hyacinth,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Muscari,armeniacum,,,,exotic,unlisted,,new 2015,observed,,,,,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2580263,,50921,VAS,accepted,57847,Muscari armeniacum,Muscari
Mycelis muralis,(L. Dumort.,,wall lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Mycelis,muralis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566554,,48543,VAS,accepted,48543,Mycelis muralis,Mycelis muralis
Myosotis arvensis,(L.) Hill,,field forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,arvensis,,,,exotic,unlisted,,confirmed,observed,1975-07-14,Angela Wood,RBCM,V097757,1949546744,2017-05-28,Andrew Simon,https://www.inaturalist.org/observations/6409658,,51726,VAS,accepted,51726,Myosotis arvensis,Myosotis arvensis
Myosotis discolor,Pers.,,common forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,discolor,,,,exotic,unlisted,,confirmed,observed,1975-06-03,Angela Wood,RBCM,V097402,1949546627,2015-04-21,Andrew Simon,http://www.inaturalist.org/observations/2567285,,70265,VAS,accepted,70265,Myosotis discolor,Myosotis discolor
Myosotis laxa,Lehm.,,small-flowered forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,laxa,,,,native,S5,,confirmed,observed,1975-05-25,Angela Wood,RBCM,V097681,1949546577,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2625785,,78150,VAS,accepted,78150,Myosotis laxa,Myosotis laxa
Myosotis scorpioides,L.,,European forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,scorpioides,,,,exotic,unlisted,,confirmed,observed,1975-06-12,Angela Wood,RBCM,V097256,1949546132,2021-06-04,Kristian Sigvardsen,https://www.inaturalist.org/observations/81637533,"Reeces’ field; wet shore of lake; 48.933333°, -123.45°",49130,VAS,accepted,49130,Myosotis scorpioides,Myosotis scorpioides
Myosotis sylvatica,Ehrh. ex Hoffm.,,wood forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,sylvatica,,,,exotic,unlisted,,confirmed,observed,1975-05-14,Angela Wood,RBCM,V097338,1949546343,2017-04-09,Andrew Simon,https://www.inaturalist.org/observations/5635307,"Angela Wood reports M. s.var. alpestris, which is likely misapplied to M. sylvatica; not a valid infraspecific taxon; this species is not recognized by the province according to the BC Ecosystem Explorer; check specimen; couldn't find the specimen! (AS)",55826,VAS,accepted,55826,Myosotis sylvatica,Myosotis sylvatica
Myosurus minimus,L.,,tiny mousetail,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Myosurus,minimus,,,,native,S4S5,,reported,unobserved,2014-05-13,Frank Lomer,UBC,V241914,,,,,"collected in ruderal area. Possible adventive? –QC ; Montague; near picnic tables;Wet grassy area, too wet yet to cut; growing with Juncus bufonius, Montia fontana, Poa annua, Plantago elongata.",58306,VAS,accepted,58306,Myosurus minimus,Myosurus minimus
Myriophyllum sp.,,,milfoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Haloragaceae,,,Myriophyllum,,,,,exotic,,,new 2019,observed,,,,,,2019-05-04,Andrew Simon,https://www.inaturalist.org/observations/24653214,,60207,VAS,accepted,60207,Myriophyllum,Myriophyllum
Myriophyllum spicatum,L.,,Eurasian water-milfoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Haloragaceae,,,Myriophyllum,spicatum,,,,exotic,unlisted,,reported,unobserved,1979-08-15,Harvey Janszen,RBCM,V097859,1949546890,,,,"Bog + Sturdies Bay farm lake; 48.879167°, -123.31944°",78157,VAS,accepted,78157,Myriophyllum spicatum,Myriophyllum spicatum
Narcissus poeticus,L.,,poet's narcissus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,Narcisseae,Narcissus,poeticus,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-05-04,Katie Kushneryk,https://www.inaturalist.org/observations/24713792,,61334,VAS,accepted,61334,Narcissus poeticus,Narcissus poeticus
Narcissus pseudonarcissus,L.,,daffodil,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,Narcisseae,Narcissus,pseudonarcissus,,,,exotic,unlisted,,confirmed,observed,2012-04-21,Terry Taylor,Vascular Plants Seen on Galiano Island,,,2015-02-22,Andrew Simon,http://www.inaturalist.org/observations/2566214,Our naturalized daffodils are more likely a hybrid as the pure species is rarely grown. However in practical terms I think this is the best available name for the cultivated daffodil (and the photo actually looks not unlike pure N. pseudonarcissus). –QC,55848,VAS,accepted,55848,Narcissus pseudonarcissus,Narcissus pseudonarcissus
Nasturtium officinale,R. Br.,,common watercress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Nasturtium,officinale,,,,exotic,unlisted,,confirmed,observed,1979-06-08,Harvey Janszen,RBCM,V122413,1949571512,2016-03-21,Sarah Tweedale,http://inaturalist.ca/observations/2817044,reported as Nasturtium microphyllum(V122413),78174,VAS,accepted,78174,Nasturtium officinale,Nasturtium officinale
Navarretia squarrosa,(Eschsch.) Hook. & Arn.,,skunkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Polemoniaceae,,,Navarretia,squarrosa,,,,native,S4S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2564155,,53157,VAS,accepted,53157,Navarretia squarrosa,Navarretia squarrosa
Nemophila parviflora,Douglas ex Benth.,,small-flowered woodland-lover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Hydrophylloideae,,Nemophila,parviflora,,,,native,S5 (2019),,confirmed,observed,1986-08-17,William J. Crins,UBC,V190911,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566455,,57353,VAS,accepted,57353,Nemophila parviflora,Nemophila parviflora
Nemophila pedunculata,Douglas ex Benth.,,meadow nemophila,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Hydrophylloideae,,Nemophila,pedunculata,,,,native,S4?,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-04-13,Andrew Simon,https://www.inaturalist.org/observations/10887673,,55461,VAS,accepted,55461,Nemophila pedunculata,Nemophila pedunculata
Neottia cordata,(L.) Rich.,,heart-leaved twayblade,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,,Neottia,cordata,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V156681,,2017-05-28,Andrew Simon,https://www.inaturalist.org/observations/6409668,Neottia borealisshould also be sought on higher elevation north slopes (HJ),204364,VAS,accepted,204364,Neottia cordata,Neottia cordata
Nuphar polysepala,Engelm.,,western yellow pond-lily,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,Nymphaeaceae,,,Nuphar,polysepala,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-08-20,Karolle Wall,https://www.inaturalist.org/observations/97172676,,78234,VAS,accepted,78234,Nuphar polysepala,Nuphar polysepala
Nuttallanthus texanus,(Scheele) D.A. Sutton,,Texas toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Plantaginaceae,,,Nuttallanthus,texanus,,,,native,S3 (2019),,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,Reported as Linaria canadensis var. texana,78235,VAS,accepted,78235,Nuttallanthus texanus,Nuttallanthus texanus
Nymphoides peltata,(S.G. Gmel.) Kuntze,,water fringe,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Menyanthaceae,,,Nymphoides,peltata,,,,exotic,unlisted,,new 2022,observed,,,,,,2022-07-30,Adam Huggins,https://www.inaturalist.org/observations/128764205,,78237,VAS,accepted,78237,Nymphoides peltata,Nymphoides peltata
Oemleria cerasiformis,(Torr. & A. Gray ex Hook. & Arn.) J.W. Landon,,osoberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Oemleria,cerasiformis,,,,native,S5,,confirmed,observed,1989-04-06,Gerald B. Straley,UBC,V197708,,2016-02-16,Andrew Simon,http://www.inaturalist.org/observations/2692194,,53419,VAS,accepted,53419,Oemleria cerasiformis,Oemleria cerasiformis
Oenanthe sarmentosa,C. Presl ex DC.,,Pacific water-parsley,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Oenanthe,sarmentosa,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2015-02-22,Andrew Simon,http://www.inaturalist.org/observations/2566272,,60127,VAS,accepted,60127,Oenanthe sarmentosa,Oenanthe sarmentosa
Oenothera biennis,L.,,common evening-primrose,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Myrtales,,,Onagraceae,,,Oenothera,biennis,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-08-17,Andrew Simon,https://www.inaturalist.org/observations/15604522,,62207,VAS,accepted,62207,Oenothera biennis,Oenothera biennis
Opuntia fragilis,(Nutt.) Haw.,,brittle prickly-pear cactus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Cactaceae,Opuntioideae,,Opuntia,fragilis,,,,native,S5,,new 2013,observed,,,,,,2013-04-08,Felix Erhard,http://www.inaturalist.org/observations/2583398,,62474,VAS,accepted,62474,Opuntia fragilis,Opuntia fragilis
Origanum vulgare,L.,,oregano,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,Nepetoideae,Mentheae,Origanum,vulgare,,,,exotic,unlisted,,new 2020,observed,,,,,,2020-04-26,Kristian Sigvardsen,https://www.inaturalist.org/observations/43742992,,61396,VAS,accepted,61396,Origanum vulgare,Origanum vulgare
Ornithogalum umbellatum,L.,,star-of-Bethlehem,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Ornithogalum,umbellatum,,,,exotic,unlisted,,new 2017,observed,,,,,,2017-05-27,Alexander J. Wright,https://www.inaturalist.org/observations/6411952,"""Naturalized in the UK and could be expected to naturalize here. It is cytologically variable - there are triploids and hexaploids. It would be interesting to know what this is."" QC",56137,VAS,accepted,1125873,Ornithogalum umbellatum,Ornithogalum umbellatum
Osmorhiza berteroi,DC.,,mountain sweet-cicely,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Osmorhiza,berteroi,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V197708,,2016-05-03,Andrew Simon,http://www.inaturalist.org/observations/3093492,Reported as O. chilensis,53166,VAS,accepted,53166,Osmorhiza berteroi,Osmorhiza berteroi
Oxalis corniculata,L.,,creeping woodsorrel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,,Oxalis,corniculata,,,,exotic,unlisted,,new 2020,observed,,,,,,2020-05-19,Andrew Simon,https://www.inaturalist.org/observations/46518419,,53168,VAS,accepted,53168,Oxalis corniculata,Oxalis corniculata
Panicum capillare,L.,,common witchgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Panicoideae,,Panicum,capillare,,,,native,S5,,new 2019,observed,,,,,,2019-08-11,Andrew Simon,https://www.inaturalist.org/observations/30789993,,78337,VAS,accepted,78337,Panicum capillare,Panicum capillare
Papaver somniferum,L.,,opium poppy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Papaveraceae,,,Papaver,somniferum,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-06-11,Andrew Simon,https://www.inaturalist.org/observations/14282411,persistent adventive,78346,VAS,accepted,78346,Papaver somniferum,Papaver somniferum
Paxistima myrsinites,(Pursh) Raf.,,falsebox,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Celastrales,,,Celastraceae,,,Paxistima,myrsinites,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-02-15,Andrew Simon,http://www.inaturalist.org/observations/2561669,,63893,VAS,accepted,63893,Paxistima myrsinites,Paxistima myrsinites
Penstemon ovatus,Douglas,,broad-leaved penstemon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Plantaginaceae,,Cheloneae,Penstemon,ovatus,,,,native,S3S4 (2019),,new 2016,observed,,,,,,2016-06-18,Jonah Timms,https://www.inaturalist.org/observations/17699197,,83938,VAS,accepted,83938,Penstemon ovatus,Penstemon ovatus
Pentagramma triangularis ssp. triangularis,(Kaulf.) Yatsk.,,goldenback fern,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,Pteridaceae,Cheilanthoideae,,Pentagramma,triangularis,,,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V103246,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2589088,,52676,VAS,accepted,58767,Pentagramma triangularis triangularis,Pentagramma triangularis
Perideridia montana,(Blank.) Dorn,,common yampah,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Apioideae,Oenantheae,Perideridia,montana,,,,native,S5,,confirmed,observed,1989-08-22,Gerald B. Straley,UBC,V200558,,2022-05-11,Andrew Simon,https://www.inaturalist.org/observations/116636224,Matt Fairbarns (2016) reports P. montana; Gerald B. Straley P. gairdneri,78434,VAS,unaccepted,78434,Perideridia gairdneri,Perideridia gairdneri
Persicaria amphibia,L. (Gray),,water smartweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,amphibia,,,,native,S5,,confirmed,observed,2000-06-12,Hans Roemer,ER 128 Inventory,,,2018-07-08,Kevin Toomer & Andrew Simon,https://www.inaturalist.org/observations/14186141,Reported as Polygonum amphibium,78450,VAS,accepted,78450,Persicaria amphibia,Persicaria amphibia
Persicaria maculosa,L.,,spotted lady's thumb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Polygonaceae,Polygonoideae,Persicarieae,Persicaria,maculosa,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2022-08-03,Caitlin Robinson,https://www.inaturalist.org/observations/130335029,Reported as Polygonum persicaria,56166,VAS,accepted,56166,Persicaria maculosa,Persicaria maculosa
