Taxon,Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,First.Observed,Observer,iNaturalist.Link,iNaturalist.Photo,Notes,ID,Stats.Code,Critical Notes A.L.&D.G.
Aglaja ocelligera,"(Bergh, 1893)",spotted aglaja,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,,confirmed,observed,29/05/1996,Andy Lamb & Donna Gibbs,PMLS,,08/04/2016,Karolle Wall,http://www.inaturalist.org/observations/2909670,https://static.inaturalist.org/photos/3329239/medium.jpg?1460259792,,49842,MOL,
Melanochlamys diomedea,"(Bergh, 1894)",Diomedes aglajid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,,confirmed,observed,23/10/1994,Andy Lamb & Donna Gibbs,PMLS,,29/05/2018,Karolle Wall,https://www.inaturalist.org/observations/12938503,https://static.inaturalist.org/photos/18802097/medium.jpg?1527635440,,345334,MOL,
Bulla sp.,,,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Bulloidea,Bullidae,,,,new 2017,observed,,,,,27/05/2017,Karolle Wall,https://www.inaturalist.org/observations/7673051,https://static.inaturalist.org/photos/10048186/medium.jpg?1503845698,,49809,MOL,
Gastropteron pacificum,"Bergh, 1893",winged sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Gastropteridae,,,,reported,unobserved,27/02/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Haminoea vesicula,"(Gould, 1855)",white bubble shell,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Haminoeoidea,Haminoeidae,,,,confirmed,observed,24/06/2018,Andy Lamb & Donna Gibbs,PMLS,,30/05/2018,Karolle Wall,https://www.inaturalist.org/observations/12970636,https://static.inaturalist.org/photos/18856757/medium.jpg?1527728160,,49812,MOL,
Cranopsis cucullata,"(Gould, 1846)",hooded puncturella,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,,,,reported,unobserved,24/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Diodora aspera,"(Rathke, 1833)",rough keyhole limpet,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,,,,reported,unobserved,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Haliotis kamtschatkana,"Jonas, 1845",northern abalone,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Haliotoidea,Haliotidae,,,,reported,unobserved,31/05/1981,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Crepidula adunca,"Menke, 1847",hooked slippersnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,,,reported,unobserved,08/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Crepidula nummaria,"Gould, 1846",northern white slippersnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,,,reported,unobserved,10/09/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Trichotropis cancellata,"Hinds, 1843",checkered hairysnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Capuloidae,Capulidae,,,,reported,unobserved,31/07/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Melanella micans,"(Carpenter, 1865)",shining balcis,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Vanikoroidea,Eulimidae,,,,reported,unobserved,30/06/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,Reported as Balcis micans,,MOL,
Marsenina stearnsii,"(Dall, 1871)",,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Velutinoidea,Lamellariidae,,,,new 2016,observed,,,,,07/04/2016,Karolle Wall,http://www.inaturalist.org/observations/2908642,https://static.inaturalist.org/photos/3327767/medium.jpg?1460248431,,53555,MOL,
Lacuna variegata,"Carpenter, 1864",variable lacuna,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Lacuninae,,,reported,unobserved,08/02/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Littorina scutulata,"Gould, 1849",checkered periwinkle,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Littorininae,,,new 2017,observed,,,,,13/02/2017,Kathleen Buckley,https://www.inaturalist.org/observations/5108046,https://static.inaturalist.org/photos/6280866/medium.jpeg?1487092095,,69995,MOL,
Littorina sitkana,"Philippi, 1846",Sitka periwinkle,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Littorininae,,,new 2017,observed,,,,,23/02/2017,Kathleen Buckley,https://www.inaturalist.org/observations/5185500,https://static.inaturalist.org/photos/6397552/medium.jpeg?1488150634,,129298,MOL,
Cryptonatica aleutica,"Dall, 1919",Aleutian moonsnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,,,,reported,unobserved,30/01/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Euspira pallida,"(Broderip & G.B. Sowerby I, 1829)",pale northern moonsnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,,,,reported,unobserved,29/09/1996,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Neverita lewisii,"(Gould, 1847)",Lewis' moon snail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,,,,confirmed,observed,27/02/1994,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763410,https://static.inaturalist.org/photos/3127652/medium.jpg?1457577515,,447427,MOL,
Fusitriton oregonensis,"(Redfield, 1848)",Oregon triton,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Tonnoidea,Ranellidae,,,,reported,unobserved,20/09/1973,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Marsenina rhombica,"(Dall, 1871)",marbled lamellarid,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Cypraeoidea,Velutinidae,Velutininae,,,reported,unobserved,07/02/2016,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Velutina velutina,"(O.F. Môller, 1776)",spiral velvet snail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Cypraeoidea,Velutinidae,Velutininae,,,reported,unobserved,07/03/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Vermetus compactus,"Daudin, 1800",northern compact wormsnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Vermetoidea,Vermetidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Lirabuccinum dirum,"(Reeve, 1846)",dire whelk,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Buccinidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Alia carinata,"(Hinds, 1844)",carinate dovesnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,,new 2017,observed,,,,,26/05/2017,Karolle Wall,https://www.inaturalist.org/observations/7674348,https://static.inaturalist.org/photos/10049729/medium.jpg?1503850620,,129933,MOL,
Amphissa columbiana,"Dall, 1916",wrinkled amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,,reported,unobserved,31/05/1981,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Amphissa versicolor,"Dall, 1871",variegated amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,,reported,unobserved,12/11/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Nucella canaliculata,"(Duclos, 1832)",channelled dogwinkle,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,,reported,unobserved,10/12/2005,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Nucella lima,"(Gemlin, 1791)",file dogwinkle,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,,reported,unobserved,23/10/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Nucella ostrina,"(Gould, 1852)",northern striped dogwinkle,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,,reported,unobserved,17/02/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Ocinebrina interfossa,"(Carpenter, 1864)",sculptured rocksnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,,reported,unobserved,10/10/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Ocinebrina lurida,"(Middendorff, 1848)",lurid rocksnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,,reported,unobserved,10/09/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Scabrotrophon maltzani,"(Kobelt & Kuster, 1878)",sandpaper trophon,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Trophoninae,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Hima mendica,"(Gould, 1850)",western lean nassa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Nassariidae,,,,reported,unobserved,19/06/2018,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Neostylidium eschrichtii,"(Middendorff, 1849)",,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neotaenioglossa,,Cerithioidea,Cerithiidae,,,,new 2016,observed,,,,,28/08/2015,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3735167,https://static.inaturalist.org/photos/4340541/medium.jpeg?1469332935,,448152,MOL,
Aegires albopunctatus,"MacFarland, 1905",salt-and-pepper nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Aegiridae,,,,reported,observed,29/05/1996,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Aeolidia loui,"Kienberger, Carmona, Pola, Padula, Gosliner & Cervera, 2016",shag-rug nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,new 2018,observed,,,,,01/04/2016,Karolle Wall,https://www.inaturalist.org/observations/14385958,https://static.inaturalist.org/photos/21391886/medium.jpg?1531674447,,498117,MOL,
Aeolidia papillosa,"(Linnaeus, 1761)",papillate sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763439,https://static.inaturalist.org/photos/3127704/medium.jpg?1457577832,,47463,MOL,
Apata pricei,"(MacFarland, 1966)",Price's aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Apataidae,,,,reported,unobserved,17/05/2013,Andy Lamb & Donna Gibbs,PMLS,,,,,,Reported as Flabellina pricei,,MOL,
Armina californica,"(J.G. Cooper, 1863)",striped nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Dexiarchia ,Arminoidea,Arminidae,,,,confirmed,observed,29/09/1996,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2975918,https://static.inaturalist.org/photos/3420011/medium.jpg?1461097116,,47499,MOL,
Aldisa albomarginata,"Millen, 1984",white-rimmed nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,,reported,unobserved,19/03/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Aldisa cooperi,"Robilliard & Baba, 1972",Cooper's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,,reported,unobserved,31/05/1981,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Aldisa sanguinea,"(J.G. Cooper, 1863)",red dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,,reported,unobserved,10/10/2013,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Aldisa tara,"Millen, 1984",Tara's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,,reported,unobserved,19/06/2018,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Cadlina luteomarginata,"MacFarlane, 1966",yellow-rimmed nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Euctenidiacea,Doridoidea,Cadlinidae,,,,confirmed,observed,29/07/1985,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2976038,https://static.inaturalist.org/photos/3116335/medium.jpg?1457385582,,50146,MOL,
Cadlina modesta,"MacFarlane, 1966",modest cadlina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,,reported,unobserved,23/06/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Dendronotus albopunctatus,"Robilliard, 1972",,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,new 2016,observed,,,,,22/04/2015,Karolle Wall,http://www.inaturalist.org/observations/3705779,https://static.inaturalist.org/photos/4303122/medium.jpg?1468962906,,50328,MOL,
Dendronotus albus,"MacFarland, 1966",white dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Dendronotus dalli,"Bergh, 1879",Dall's dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,reported,unobserved,27/02/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Dendronotus frondosus,"(Ascanius, 1774)",bushy-backed nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,new 2018,observed,,,,,18/05/2018,Karolle Wall,https://www.inaturalist.org/observations/12684296,https://static.inaturalist.org/photos/18360819/medium.jpg?1526928514,,423919,MOL,
Dendronotus iris,"J.G. Cooper, 1863",giant nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2975966,https://static.inaturalist.org/photos/3420086/medium.jpg?1461097393,,47706,MOL,
Dendronotus rufus,"O'Donoghue, 1921",red dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,confirmed,observed,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,07/10/2011,Karolle Wall,http://www.inaturalist.org/observations/3705777,https://static.inaturalist.org/photos/4303203/medium.jpg?1468963428,,50393,MOL,
Dendronotus sp.,"Alder & Hancock, 1845",light-speckled dendronotid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,reported,unobserved,16/02/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Dendronotus venustus,"MacFarland, 1966",branched dendronotus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Dendronotidae,,,,new 2016,observed,,,,,24/05/2016,Karolle Wall,http://www.inaturalist.org/observations/3705618,https://static.inaturalist.org/photos/4302953/medium.jpg?1468961299,,129995,MOL,
Dirona albolineata,"MacFarland, 1905",frosted nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763409,https://static.inaturalist.org/photos/3127651/medium.jpg?1457577475,,47477,MOL,
Dirona pellucida,"Volodchenko, 1941",golden dirona,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,,confirmed,observed,21/09/1973,Andy Lamb & Donna Gibbs,PMLS,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854943,https://static.inaturalist.org/photos/3257098/medium.jpg?1459383774,,50447,MOL,
Diaulula lentiginosa,"(Millen, 1982)",freckled pale sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,,reported,unobserved,05/03/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Diaulula odonoghuei,"(Steinberg, 1963)",spotted leopard dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,25/05/2016,Chessi Miltner,http://www.inaturalist.org/observations/3684490,https://static.inaturalist.org/photos/4272167/medium.jpg?1468629479,,508237,MOL,
Geitodoris heathi,"(MacFarlane, 1905)",Heath's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,,reported,unobserved,31/05/1981,Andy Lamb & Donna Gibbs,PMLS,,,,,,,47505,MOL,
Peltodoris nobilis,"(MacFarland, 1905)",sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Discodorididae,,,,new 2016,observed,,,,,18/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2755459,https://static.inaturalist.org/photos/3116293/medium.jpg?1457384578,,48450,MOL,
Doris montereyensis,"(J.G. Cooper, 1863)",Monterey sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,,confirmed,observed,02/08/1968,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763446,https://static.inaturalist.org/photos/3127714/medium.jpg?1457577901,,47469,MOL,
Doris nobilis,"Odhner, 1907",noble sea lemon,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,,reported,unobserved,02/08/1968,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Doris odhneri,"MacFarlane, 1966",white nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,,confirmed,observed,20/09/1973,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763462,https://static.inaturalist.org/photos/3127744/medium.jpg?1457578278,,124210,MOL,
Eubranchus rupium,"(Moller, 1842)",olive aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Eubranchidae,,,,reported,unobserved,06/10/2012,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Hermissenda crassicornis,"(Eschscholtz, 1831)",opalescent nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Facelinidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,19/05/2015,Karolle Wall,http://www.inaturalist.org/observations/3707787,https://static.inaturalist.org/photos/4306309/original.jpg?1468987954,,495552,MOL,
Coryphella verrucosa,"(Sars M., 1829)",red-gilled nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Flabellinidae,,,,confirmed,observed,10/09/1994,Andy Lamb & Donna Gibbs,PMLS,,30/07/2015,Karolle Wall,http://www.inaturalist.org/observations/3705778,https://static.inaturalist.org/photos/4303106/medium.jpg?1468962749,,50461,MOL,
Coryphellina rubrolineata,"O'Donoghue, 1929",purple flabellina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Flabellinidae,,,,new 2016,observed,,,,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2976615,https://static.inaturalist.org/photos/3420834/medium.jpg?1461100300,,699010,MOL,
Flabellina japonica,"(Volodchenko, 1941)",pearly nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Flabellinidae,,,,reported,unobserved,08/02/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Himatina trophina,"(Bergh, 1890)",red flabellina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Flabellinidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,Reported as Flabellina trophina,,MOL,
Orienthella trilineata,"(O'Donoghue, 1921)",three-lined nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Flabellinidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,Reported as Flabellina trilineata,,MOL,
Janolus fuscus,"O'Donohue, 1924",white-and-orange-tipped nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Janolidae,,,,confirmed,observed,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,18/06/2015,Karolle Wall,http://www.inaturalist.org/observations/3705624,https://static.inaturalist.org/photos/4302968/medium.jpg?1468961486,,47460,MOL,
Acanthodoris hudsoni,"MacFarlane, 1905",Hudson's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,confirmed,observed,23/10/1994,Andy Lamb & Donna Gibbs,PMLS,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854926,https://static.inaturalist.org/photos/3257076/medium.jpg?1459383467,,48447,MOL,
Acanthodoris nanaimoensis,"O'Donoghue, 1921",Nanaimo nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,confirmed,observed,08/12/1985,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2976276,https://static.inaturalist.org/photos/3420536/medium.jpg?1461099177,,47476,MOL,
Acanthodoris pilosa,"(Abildgaard, 1789)",pilose doris,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,reported,observed,15/06/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Adalaria sp.,,tiny white dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,reported,observed,28/09/1996,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Diaphorodoris lirulatocauda,"Millen, 1985",porcupine dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,confirmed,observed,30/05/2008,Andy Lamb & Donna Gibbs,PMLS,,15/05/2016,Karolle Wall,http://www.inaturalist.org/observations/3707594,https://static.inaturalist.org/photos/4305890/medium.jpg?1468984104,,48630,MOL,
Knoutsodonta jannae,"Millen, 1987",Janna's adalaria,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,reported,unobserved,19/06/2018,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Onchidoris bilamellata,"(Linnaeus, 1767)",barnacle-eating nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,confirmed,observed,23/06/2006,Andy Lamb & Donna Gibbs,PMLS,,18/07/2016,Karolle Wall,http://www.inaturalist.org/observations/4052743,https://static.inaturalist.org/photos/4799889/medium.jpg?1473211937,,47480,MOL,
Limacia cockerelli,"(MacFarland, 1905)",Cockerell's nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Polyceridae,Triophinae,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
Polycera zosterae,"O'Donoghue, 1924",sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Polyceridae,Polycerinae,,,new 2016,observed,,,,,10/05/2010,Karolle Wall,http://www.inaturalist.org/observations/3707748,https://static.inaturalist.org/photos/4306247/medium.jpg?1468987093,,501581,MOL,
Triopha catalinae,"(J.G. Cooper, 1863)",clown nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Polyceridae,Triophinae,,,confirmed,observed,27/02/1994,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763434,https://static.inaturalist.org/photos/3127688/medium.jpg?1457577755,,47454,MOL,
Triopha maculata,"MacFarland, 1905",spotted triopha,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Polyceroidea,Polyceridae,Triophinae,,,reported,unobserved,30/05/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MOL,
